t_s,position_m,velocity_mps,acceleration_mps2,jerk_mps3,ratio_percent
0,0,0,2.4,-0.96,0
0.02,0.00047872,0.047808,2.3808,-0.96,0.4
0.04,0.00190976,0.095232,2.3616,-0.96,0.8
0.06,0.00428544,0.142272,2.3424,-0.96,1.2
0.08,0.00759808,0.188928,2.3232,-0.96,1.6
0.1,0.01184,0.2352,2.304,-0.96,2
0.12,0.01700352,0.281088,2.2848,-0.96,2.4
0.14,0.02308096,0.326592,2.2656,-0.96,2.8
0.16,0.03006464,0.371712,2.2464,-0.96,3.2
0.18,0.03794688,0.416448,2.2272,-0.96,3.6
0.2,0.04672,0.4608,2.208,-0.96,4
0.22,0.05637632,0.504768,2.1888,-0.96,4.4
0.24,0.06690816,0.548352,2.1696,-0.96,4.8
0.26,0.07830784,0.591552,2.1504,-0.96,5.2
0.28,0.09056768,0.634368,2.1312,-0.96,5.6
0.3,0.10368,0.6768,2.112,-0.96,6
0.32,0.11763712,0.718848,2.0928,-0.96,6.4
0.34,0.13243136,0.760512,2.0736,-0.96,6.8
0.36,0.14805504,0.801792,2.0544,-0.96,7.2
0.38,0.16450048,0.842688,2.0352,-0.96,7.6
0.4,0.18176,0.8832,2.016,-0.96,8
0.42,0.19982592,0.923328,1.9968,-0.96,8.4
0.44,0.21869056,0.963072,1.9776,-0.96,8.8
0.46,0.23834624,1.002432,1.9584,-0.96,9.2
0.48,0.25878528,1.041408,1.9392,-0.96,9.6
0.5,0.28,1.08,1.92,-0.96,10
0.52,0.30198272,1.118208,1.9008,-0.96,10.4
0.54,0.32472576,1.156032,1.8816,-0.96,10.8
0.56,0.34822144,1.193472,1.8624,-0.96,11.2
0.58,0.37246208,1.230528,1.8432,-0.96,11.6
0.6,0.39744,1.2672,1.824,-0.96,12
0.62,0.42314752,1.303488,1.8048,-0.96,12.4
0.64,0.44957696,1.339392,1.7856,-0.96,12.8
0.66,0.47672064,1.374912,1.7664,-0.96,13.2
0.68,0.50457088,1.410048,1.7472,-0.96,13.6
0.7,0.53312,1.4448,1.728,-0.96,14
0.72,0.56236032,1.479168,1.7088,-0.96,14.4
0.74,0.59228416,1.513152,1.6896,-0.96,14.8
0.76,0.62288384,1.546752,1.6704,-0.96,15.2
0.78,0.65415168,1.579968,1.6512,-0.96,15.6
0.8,0.68608,1.6128,1.632,-0.96,16
0.82,0.71866112,1.645248,1.6128,-0.96,16.4
0.84,0.75188736,1.677312,1.5936,-0.96,16.8
0.86,0.78575104,1.708992,1.5744,-0.96,17.2
0.88,0.82024448,1.740288,1.5552,-0.96,17.6
0.9,0.85536,1.7712,1.536,-0.96,18
0.92,0.89108992,1.801728,1.5168,-0.96,18.4
0.94,0.92742656,1.831872,1.4976,-0.96,18.8
0.96,0.96436224,1.861632,1.4784,-0.96,19.2
0.98,1.00188928,1.891008,1.4592,-0.96,19.6
1,1.04,1.92,1.44,-0.96,20
1.02,1.07868672,1.948608,1.4208,-0.96,20.4
1.04,1.11794176,1.976832,1.4016,-0.96,20.8
1.06,1.15775744,2.004672,1.3824,-0.96,21.2
1.08,1.19812608,2.032128,1.3632,-0.96,21.6
1.1,1.23904,2.0592,1.344,-0.96,22
1.12,1.28049152,2.085888,1.3248,-0.96,22.4
1.14,1.32247296,2.112192,1.3056,-0.96,22.8
1.16,1.36497664,2.138112,1.2864,-0.96,23.2
1.18,1.40799488,2.163648,1.2672,-0.96,23.6
1.2,1.45152,2.1888,1.248,-0.96,24
1.22,1.49554432,2.213568,1.2288,-0.96,24.4
1.24,1.54006016,2.237952,1.2096,-0.96,24.8
1.26,1.58505984,2.261952,1.1904,-0.96,25.2
