t_s,position_m,velocity_mps,acceleration_mps2,jerk_mps3,ratio_percent
0,0,0,0.16,0,0
0.02,3.2e-05,0.0032,0.16,0,0.4
0.04,0.000128,0.0064,0.16,0,0.8
0.06,0.000288,0.0096,0.16,0,1.2
0.08,0.000512,0.0128,0.16,0,1.6
0.1,0.0008,0.016,0.16,0,2
0.12,0.001152,0.0192,0.16,0,2.4
0.14,0.001568,0.0224,0.16,0,2.8
0.16,0.002048,0.0256,0.16,0,3.2
0.18,0.002592,0.0288,0.16,0,3.6
0.2,0.0032,0.032,0.16,0,4
0.22,0.003872,0.0352,0.16,0,4.4
0.24,0.004608,0.0384,0.16,0,4.8
0.26,0.005408,0.0416,0.16,0,5.2
0.28,0.006272,0.0448,0.16,0,5.6
0.3,0.0072,0.048,0.16,0,6
0.32,0.008192,0.0512,0.16,0,6.4
0.34,0.009248,0.0544,0.16,0,6.8
0.36,0.010368,0.0576,0.16,0,7.2
0.38,0.011552,0.0608,0.16,0,7.6
0.4,0.0128,0.064,0.16,0,8
0.42,0.014112,0.0672,0.16,0,8.4
0.44,0.015488,0.0704,0.16,0,8.8
0.46,0.016928,0.0736,0.16,0,9.2
0.48,0.018432,0.0768,0.16,0,9.6
0.5,0.02,0.08,0.16,0,10
0.52,0.021632,0.0832,0.16,0,10.4
0.54,0.023328,0.0864,0.16,0,10.8
0.56,0.025088,0.0896,0.16,0,11.2
0.58,0.026912,0.0928,0.16,0,11.6
0.6,0.0288,0.096,0.16,0,12
0.62,0.030752,0.0992,0.16,0,12.4
0.64,0.032768,0.1024,0.16,0,12.8
0.66,0.034848,0.1056,0.16,0,13.2
0.68,0.036992,0.1088,0.16,0,13.6
0.7,0.0392,0.112,0.16,0,14
0.72,0.041472,0.1152,0.16,0,14.4
0.74,0.043808,0.1184,0.16,0,14.8
0.76,0.046208,0.1216,0.16,0,15.2
0.78,0.048672,0.1248,0.16,0,15.6
0.8,0.0512,0.128,0.16,0,16
0.82,0.053792,0.1312,0.16,0,16.4
0.84,0.056448,0.1344,0.16,0,16.8
0.86,0.059168,0.1376,0.16,0,17.2
0.88,0.061952,0.1408,0.16,0,17.6
0.9,0.0648,0.144,0.16,0,18
0.92,0.067712,0.1472,0.16,0,18.4
0.94,0.070688,0.1504,0.16,0,18.8
0.96,0.073728,0.1536,0.16,0,19.2
0.98,0.076832,0.1568,0.16,0,19.6
1,0.08,0.16,0.16,0,20
1.02,0.083232,0.1632,0.16,0,20.4
1.04,0.086528,0.1664,0.16,0,20.8
1.06,0.089888,0.1696,0.16,0,21.2
1.08,0.093312,0.1728,0.16,0,21.6
1.1,0.0968,0.176,0.16,0,22
1.12,0.100352,0.1792,0.16,0,22.4
1.14,0.103968,0.1824,0.16,0,22.8
1.16,0.107648,0.1856,0.16,0,23.2
1.18,0.111392,0.1888,0.16,0,23.6
1.2,0.1152,0.192,0.16,0,24
1.22,0.119072,0.1952,0.16,0,24.4
1.24,0.123008,0.1984,0.16,0,24.8
1.26,0.127008,0.2016,0.16,0,25.2
1.28,0.131072,0.2048,0.16,0,25.6
1.3,0.1352,0.208,0.16,0,26
1.32,0.139392,0.2112,0.16,0,26.4
1.34,0.143648,0.2144,0.16,0,26.8
1.36,0.147968,0.2176,0.16,0,27.2
1.38,0.152352,0.2208,0.16,0,27.6
1.4,0.1568,0.224,0.16,0,28
1.42,0.161312,0.2272,0.16,0,28.4
1.44,0.165888,0.2304,0.16,0,28.8
1.46,0.170528,0.2336,0.16,0,29.2
1.48,0.175232,0.2368,0.16,0,29.6
1.5,0.18,0.24,0.16,0,30
1.52,0.184832,0.2432,0.16,0,30.4
1.54,0.189728,0.2464,0.16,0,30.8
1.56,0.194688,0.2496,0.16,0,31.2
1.58,0.199712,0.2528,0.16,0,31.6
1.6,0.2048,0.256,0.16,0,32
1.62,0.209952,0.2592,0.16,0,32.4
1.64,0.215168,0.2624,0.16,0,32.8
1.66,0.220448,0.2656,0.16,0,33.2
1.68,0.225792,0.2688,0.16,0,33.6
1.7,0.2312,0.272,0.16,0,34
1.72,0.236672,0.2752,0.16,0,34.4
1.74,0.242208,0.2784,0.16,0,34.8
1.76,0.247808,0.2816,0.16,0,35.2
1.78,0.253472,0.2848,0.16,0,35.6
1.8,0.2592,0.288,0.16,0,36
1.82,0.264992,0.2912,0.16,0,36.4
1.84,0.270848,0.2944,0.16,0,36.8
1.86,0.276768,0.2976,0.16,0,37.2
1.88,0.282752,0.3008,0.16,0,37.6
1.9,0.2888,0.304,0.16,0,38
1.92,0.294912,0.3072,0.16,0,38.4
1.94,0.301088,0.3104,0.16,0,38.8
1.96,0.307328,0.3136,0.16,0,39.2
1.98,0.313632,0.3168,0.16,0,39.6
2,0.32,0.32,0.16,0,40
2.02,0.326432,0.3232,0.16,0,40.4
2.04,0.332928,0.3264,0.16,0,40.8
2.06,0.339488,0.3296,0.16,0,41.2
2.08,0.346112,0.3328,0.16,0,41.6
2.1,0.3528,0.336,0.16,0,42
2.12,0.359552,0.3392,0.16,0,42.4
2.14,0.366368,0.3424,0.16,0,42.8
2.16,0.373248,0.3456,0.16,0,43.2
2.18,0.380192,0.3488,0.16,0,43.6
2.2,0.3872,0.352,0.16,0,44
2.22,0.394272,0.3552,0.16,0,44.4
2.24,0.401408,0.3584,0.16,0,44.8
2.26,0.408608,0.3616,0.16,0,45.2
2.28,0.415872,0.3648,0.16,0,45.6
2.3,0.4232,0.368,0.16,0,46
2.32,0.430592,0.3712,0.16,0,46.4
2.34,0.438048,0.3744,0.16,0,46.8
2.36,0.445568,0.3776,0.16,0,47.2
2.38,0.453152,0.3808,0.16,0,47.6
2.4,0.4608,0.384,0.16,0,48
2.42,0.468512,0.3872,0.16,0,48.4
2.44,0.476288,0.3904,0.16,0,48.8
2.46,0.484128,0.3936,0.16,0,49.2
2.48,0.492032,0.3968,0.16,0,49.6
2.5,0.5,0.4,0.16,0,50
2.52,0.507968,0.3968,-0.16,0,50.4
2.54,0.515872,0.3936,-0.16,0,50.8
2.56,0.523712,0.3904,-0.16,0,51.2
2.58,0.531488,0.3872,-0.16,0,51.6
2.6,0.5392,0.384,-0.16,0,52
2.62,0.546848,0.3808,-0.16,0,52.4
2.64,0.554432,0.3776,-0.16,0,52.8
2.66,0.561952,0.3744,-0.16,0,53.2
2.68,0.569408,0.3712,-0.16,0,53.6
2.7,0.5768,0.368,-0.16,0,54
2.72,0.584128,0.3648,-0.16,0,54.4
2.74,0.591392,0.3616,-0.16,0,54.8
2.76,0.598592,0.3584,-0.16,0,55.2
2.78,0.605728,0.3552,-0.16,0,55.6
2.8,0.6128,0.352,-0.16,0,56
2.82,0.619808,0.3488,-0.16,0,56.4
2.84,0.626752,0.3456,-0.16,0,56.8
2.86,0.633632,0.3424,-0.16,0,57.2
2.88,0.640448,0.3392,-0.16,0,57.6
2.9,0.6472,0.336,-0.16,0,58
2.92,0.653888,0.3328,-0.16,0,58.4
2.94,0.660512,0.3296,-0.16,0,58.8
2.96,0.667072,0.3264,-0.16,0,59.2
2.98,0.673568,0.3232,-0.16,0,59.6
3,0.68,0.32,-0.16,0,60
3.02,0.686368,0.3168,-0.16,0,60.4
3.04,0.692672,0.3136,-0.16,0,60.8
3.06,0.698912,0.3104,-0.16,0,61.2
3.08,0.705088,0.3072,-0.16,0,61.6
3.1,0.7112,0.304,-0.16,0,62
3.12,0.717248,0.3008,-0.16,0,62.4
3.14,0.723232,0.2976,-0.16,0,62.8
3.16,0.729152,0.2944,-0.16,0,63.2
3.18,0.735008,0.2912,-0.16,0,63.6
3.2,0.7408,0.288,-0.16,0,64
3.22,0.746528,0.2848,-0.16,0,64.4
3.24,0.752192,0.2816,-0.16,0,64.8
3.26,0.757792,0.2784,-0.16,0,65.2
3.28,0.763328,0.2752,-0.16,0,65.6
3.3,0.7688,0.272,-0.16,0,66
3.32,0.774208,0.2688,-0.16,0,66.4
3.34,0.779552,0.2656,-0.16,0,66.8
3.36,0.784832,0.2624,-0.16,0,67.2
3.38,0.790048,0.2592,-0.16,0,67.6
3.4,0.7952,0.256,-0.16,0,68
3.42,0.800288,0.2528,-0.16,0,68.4
3.44,0.805312,0.2496,-0.16,0,68.8
3.46,0.810272,0.2464,-0.16,0,69.2
3.48,0.815168,0.2432,-0.16,0,69.6
3.5,0.82,0.24,-0.16,0,70
3.52,0.824768,0.2368,-0.16,0,70.4
3.54,0.829472,0.2336,-0.16,0,70.8
3.56,0.834112,0.2304,-0.16,0,71.2
3.58,0.838688,0.2272,-0.16,0,71.6
3.6,0.8432,0.224,-0.16,0,72
3.62,0.847648,0.2208,-0.16,0,72.4
3.64,0.852032,0.2176,-0.16,0,72.8
3.66,0.856352,0.2144,-0.16,0,73.2
3.68,0.860608,0.2112,-0.16,0,73.6
3.7,0.8648,0.208,-0.16,0,74
3.72,0.868928,0.2048,-0.16,0,74.4
3.74,0.872992,0.2016,-0.16,0,74.8
3.76,0.876992,0.1984,-0.16,0,75.2
3.78,0.880928,0.1952,-0.16,0,75.6
3.8,0.8848,0.192,-0.16,0,76
3.82,0.888608,0.1888,-0.16,0,76.4
3.84,0.892352,0.1856,-0.16,0,76.8
3.86,0.896032,0.1824,-0.16,0,77.2
3.88,0.899648,0.1792,-0.16,0,77.6
3.9,0.9032,0.176,-0.16,0,78
3.92,0.906688,0.1728,-0.16,0,78.4
3.94,0.910112,0.1696,-0.16,0,78.8
3.96,0.913472,0.1664,-0.16,0,79.2
3.98,0.916768,0.1632,-0.16,0,79.6
4,0.92,0.16,-0.16,0,80
4.02,0.923168,0.1568,-0.16,0,80.4
4.04,0.926272,0.1536,-0.16,0,80.8
4.06,0.929312,0.1504,-0.16,0,81.2
4.08,0.932288,0.1472,-0.16,0,81.6
4.1,0.9352,0.144,-0.16,0,82
4.12,0.938048,0.1408,-0.16,0,82.4
4.14,0.940832,0.1376,-0.16,0,82.8
4.16,0.943552,0.1344,-0.16,0,83.2
4.18,0.946208,0.1312,-0.16,0,83.6
4.2,0.9488,0.128,-0.16,0,84
4.22,0.951328,0.1248,-0.16,0,84.4
4.24,0.953792,0.1216,-0.16,0,84.8
4.26,0.956192,0.1184,-0.16,0,85.2
4.28,0.958528,0.1152,-0.16,0,85.6
4.3,0.9608,0.112,-0.16,0,86
4.32,0.963008,0.1088,-0.16,0,86.4
4.34,0.965152,0.1056,-0.16,0,86.8
4.36,0.967232,0.1024,-0.16,0,87.2
4.38,0.969248,0.0992,-0.16,0,87.6
4.4,0.9712,0.096,-0.16,0,88
4.42,0.973088,0.0928,-0.16,0,88.4
4.44,0.974912,0.0896,-0.16,0,88.8
4.46,0.976672,0.0864,-0.16,0,89.2
4.48,0.978368,0.0832,-0.16,0,89.6
4.5,0.98,0.08,-0.16,0,90
4.52,0.981568,0.0768,-0.16,0,90.4
4.54,0.983072,0.0736,-0.16,0,90.8
4.56,0.984512,0.0704,-0.16,0,91.2
4.58,0.985888,0.0672,-0.16,0,91.6
4.6,0.9872,0.064,-0.16,0,92
4.62,0.988448,0.0608,-0.16,0,92.4
4.64,0.989632,0.0576,-0.16,0,92.8
4.66,0.990752,0.0544,-0.16,0,93.2
4.68,0.991808,0.0512,-0.16,0,93.6
4.7,0.9928,0.048,-0.16,0,94
4.72,0.993728,0.0448,-0.16,0,94.4
4.74,0.994592,0.0416,-0.16,0,94.8
4.76,0.995392,0.0384,-0.16,0,95.2
4.78,0.996128,0.0352,-0.16,0,95.6
4.8,0.9968,0.032,-0.16,0,96
4.82,0.997408,0.0288,-0.16,0,96.4
4.84,0.997952,0.0256,-0.16,0,96.8
4.86,0.998432,0.0224,-0.16,0,97.2
4.88,0.998848,0.0192,-0.16,0,97.6
4.9,0.9992,0.016,-0.16,0,98
4.92,0.999488,0.0128,-0.16,0,98.4
4.94,0.999712,0.0096,-0.16,0,98.8
4.96,0.999872,0.0064,-0.16,0,99.2
4.98,0.999968,0.0032,-0.16,0,99.6
5,1,0,0,0,100
