stamp_sec,receive_sec,x,y,z,qx,qy,qz,qw,yaw_rad
0.197,1789944361.01,-8.66826,-10.7757,0.15,0,0,0.707108079859,0.707105482511,1.5708
0.217,1789944361.03,-8.66826,-10.7757,0.147942,0,0,0.707108079859,0.707105482511,1.5708
0.237,1789944361.05,-8.66826,-10.7757,0.141964,0,0,0.707108079859,0.707105482511,1.5708
0.257,1789944361.07,-8.66826,-10.7757,0.132066,0,0,0.707108079859,0.707105482511,1.5708
0.277,1789944361.09,-8.66826,-10.7757,0.118248,1.07931569706e-22,-1.07931175765e-22,0.707108079859,0.707105482511,1.5708
0.297,1789944361.11,-8.66826,-10.7757,0.10051,-2.4922778929e-29,2.49002030498e-29,0.707108079859,0.707105482511,1.5708
0.317,1789944361.13,-8.66826,-10.7757,0.078852,-1.32146939029e-32,-1.09395462268e-32,0.707108079859,0.707105482511,1.5708
0.337,1789944361.15,-8.66826,-10.7757,0.053274,-1.3234259559e-32,-1.09390113535e-32,0.707108079859,0.707105482511,1.5708
0.357,1789944361.17,-8.66826,-10.7757,0.023776,2.26089909575e-23,-2.26089127731e-23,0.707108079859,0.707105482511,1.5708
0.377,1789944361.19,-8.66826000364,-10.7756987509,0.0249952027175,-1.76608211716e-05,1.76788801622e-05,0.707108072326,0.707105489603,1.57079997932
0.397,1789944361.21,-8.66826001093,-10.7757000014,0.0250000000676,1.70575515726e-11,-1.57814300901e-10,0.707108060068,0.707105502302,1.57079994402
0.417,1789944361.23,-8.668260018,-10.7757019621,0.0249921562143,2.77067091184e-05,-2.77206186382e-05,0.707108047608,0.707105513677,1.57079991032
0.437,1789944361.25,-8.66826002263,-10.7756987539,0.0249952027175,-1.76608998754e-05,1.76789092777e-05,0.70710803814,0.707105523789,1.57079988262
0.457,1789944361.27,-8.66826002992,-10.7757000043,0.0250000000676,1.70575768853e-11,-1.5781429629e-10,0.707108025912,0.707105536459,1.57079984741
0.477,1789944361.29,-8.66826003698,-10.7757019651,0.0249921562143,2.77067078634e-05,-2.77206198784e-05,0.707108013453,0.707105547832,1.57079981371
0.497,1789944361.31,-8.66826004161,-10.7756987569,0.0249952027175,-1.7660899134e-05,1.76789100052e-05,0.707108003985,0.707105557945,1.57079978602
0.517,1789944361.33,-8.6682600489,-10.7757000073,0.0250000000676,1.70575993317e-11,-1.57814292075e-10,0.707107991757,0.707105570614,1.57079975081
0.537,1789944361.35,-8.66826005597,-10.775701968,0.0249921562143,2.77067066171e-05,-2.77206211276e-05,0.707107979298,0.707105581987,1.5707997171
0.557,1789944361.37,-8.6682600606,-10.7756987598,0.0249952027175,-1.76608983925e-05,1.76789107325e-05,0.70710796983,0.707105592099,1.57079968941
0.577,1789944361.39,-8.66826006788,-10.7757000103,0.0250000000676,1.7057620992e-11,-1.57814288619e-10,0.707107957603,0.707105604769,1.5707996542
0.597,1789944361.41,-8.66826007495,-10.775701971,0.0249921562143,2.77067053707e-05,-2.77206223767e-05,0.707107945143,0.707105616142,1.5707996205
0.617,1789944361.43,-8.66826007958,-10.7756987628,0.0249952027175,-1.7660897651e-05,1.76789114598e-05,0.707107935676,0.707105626254,1.57079959281
0.637,1789944361.45,-8.66826008687,-10.7757000132,0.0250000000676,1.70576431301e-11,-1.57814285356e-10,0.707107923448,0.707105638923,1.5707995576
0.657,1789944361.47,-8.66826009393,-10.775701974,0.0249921562143,2.77067041244e-05,-2.77206236259e-05,0.707107910989,0.707105650296,1.5707995239
0.677,1789944361.49,-8.66826009856,-10.7756987658,0.0249952027175,-1.76608969095e-05,1.76789121872e-05,0.707107901522,0.707105660408,1.57079949621
0.697,1789944361.51,-8.66826010585,-10.7757000162,0.0250000000676,1.7057665634e-11,-1.57814280897e-10,0.707107889295,0.707105673077,1.570799461
0.717,1789944361.53,-8.66826011292,-10.775701977,0.0249921562143,2.77067028781e-05,-2.7720624875e-05,0.707107876836,0.70710568445,1.5707994273
0.737,1789944361.55,-8.66826011754,-10.7756987687,0.0249952027175,-1.76608961681e-05,1.76789129144e-05,0.707107867368,0.707105694561,1.57079939961
0.757,1789944361.57,-8.66826012483,-10.7757000192,0.0250000000676,1.70576878127e-11,-1.57814276821e-10,0.707107855141,0.70710570723,1.5707993644
0.777,1789944361.59,-8.6682601319,-10.7757019799,0.0249921562143,2.77067016318e-05,-2.77206261241e-05,0.707107842682,0.707105718603,1.5707993307
0.797,1789944361.61,-8.66826013652,-10.7756987717,0.0249952027175,-1.76608954266e-05,1.76789136417e-05,0.707107833215,0.707105728715,1.57079930301
0.817,1789944361.63,-8.66826014381,-10.7757000221,0.0250000000676,1.70577095002e-11,-1.57814274206e-10,0.707107820989,0.707105741383,1.5707992678
0.837,1789944361.65,-8.66826015088,-10.7757019829,0.0249921562143,2.77067003855e-05,-2.77206273732e-05,0.70710780853,0.707105752756,1.5707992341
0.857,1789944361.67,-8.66826015551,-10.7756987747,0.0249952027175,-1.76608946851e-05,1.7678914369e-05,0.707107799063,0.707105762867,1.57079920641
0.877,1789944361.69,-8.66826016279,-10.7757000251,0.0250000000676,1.70577321126e-11,-1.5781426933e-10,0.707107786836,0.707105775535,1.5707991712
0.897,1789944361.71,-8.66826016986,-10.7757019859,0.0249921562143,2.77066991392e-05,-2.77206286223e-05,0.707107774378,0.707105786908,1.5707991375
0.917,1789944361.73,-8.66826017449,-10.7756987777,0.0249952027175,-1.76608939437e-05,1.76789150963e-05,0.707107764911,0.707105797019,1.57079910981
0.937,1789944361.75,-8.66826018178,-10.7757000281,0.0250000000676,1.70577539728e-11,-1.57814266572e-10,0.707107752684,0.707105809687,1.57079907461
0.957,1789944361.77,-8.66826018884,-10.7757019888,0.0249921562143,2.77066978929e-05,-2.77206298714e-05,0.707107740226,0.70710582106,1.57079904091
0.977,1789944361.79,-8.66826019347,-10.7756987806,0.0249952027175,-1.76608932023e-05,1.76789158235e-05,0.707107730759,0.707105831171,1.57079901322
0.997,1789944361.81,-8.66826020076,-10.7757000311,0.0250000000676,1.70577761922e-11,-1.57814262385e-10,0.707107718533,0.707105843839,1.57079897801
1.017,1789944361.83,-8.66826020783,-10.7757019918,0.0249921562143,2.77066966467e-05,-2.77206311204e-05,0.707107706074,0.707105855211,1.57079894431
1.037,1789944361.85,-8.66826021245,-10.7756987836,0.0249952027175,-1.76608924608e-05,1.76789165508e-05,0.707107696608,0.707105865322,1.57079891662
1.057,1789944361.87,-8.66826021974,-10.775700034,0.0250000000676,1.70577983675e-11,-1.57814258136e-10,0.707107684382,0.70710587799,1.57079888142
1.077,1789944361.89,-8.66826022681,-10.7757019948,0.0249921562143,2.77066954005e-05,-2.77206323694e-05,0.707107671924,0.707105889362,1.57079884772
1.097,1789944361.91,-8.66826023143,-10.7756987866,0.0249952027175,-1.76608917195e-05,1.76789172781e-05,0.707107662457,0.707105899473,1.57079882003
1.117,1789944361.93,-8.66826023872,-10.775700037,0.0250000000676,1.70578206377e-11,-1.5781425489e-10,0.707107650231,0.707105912141,1.57079878483
1.137,1789944361.95,-8.66826024579,-10.7757019978,0.0249921562143,2.77066941542e-05,-2.77206336184e-05,0.707107637773,0.707105923513,1.57079875113
1.157,1789944361.97,-8.66826025041,-10.7756987895,0.0249952027175,-1.7660890978e-05,1.76789180053e-05,0.707107628307,0.707105933624,1.57079872344
1.177,1789944361.99,-8.6682602577,-10.77570004,0.0250000000676,1.70578425081e-11,-1.57814251529e-10,0.707107616081,0.707105946291,1.57079868823
1.197,1789944362.01,-8.66826026477,-10.7757020007,0.0249921562143,2.77066929081e-05,-2.77206348674e-05,0.707107603623,0.707105957663,1.57079865454
1.217,1789944362.03,-8.66826026939,-10.7756987925,0.0249952027175,-1.76608902366e-05,1.76789187325e-05,0.707107594157,0.707105967774,1.57079862685
1.237,1789944362.05,-8.66826027668,-10.7757000429,0.0250000000676,1.70578647139e-11,-1.5781424744e-10,0.707107581931,0.707105980441,1.57079859164
1.257,1789944362.07,-8.66826028375,-10.7757020037,0.0249921562143,2.77066916619e-05,-2.77206361165e-05,0.707107569474,0.707105991812,1.57079855795
1.277,1789944362.09,-8.66826028837,-10.7756987955,0.0249952027175,-1.76608894952e-05,1.76789194598e-05,0.707107560008,0.707106001923,1.57079853026
1.297,1789944362.11,-8.66826029566,-10.7757000459,0.0250000000676,1.70578865639e-11,-1.57814244106e-10,0.707107547782,0.70710601459,1.57079849506
1.317,1789944362.13,-8.66826030273,-10.7757020067,0.0249921562142,2.77066904157e-05,-2.77206373654e-05,0.707107535325,0.707106025962,1.57079846136
1.337,1789944362.15,-8.66826030735,-10.7756987984,0.0249952027175,-1.76608887538e-05,1.7678920187e-05,0.707107525859,0.707106036072,1.57079843367
1.357,1789944362.17,-8.66826031464,-10.7757000489,0.0250000000676,1.70579088578e-11,-1.57814239843e-10,0.707107513633,0.707106048739,1.57079839847
1.377,1789944362.19,-8.66826032171,-10.7757020096,0.0249921562142,2.77066891695e-05,-2.77206386143e-05,0.707107501176,0.70710606011,1.57079836477
1.397,1789944362.21,-8.66826032633,-10.7756988014,0.0249952027175,-1.76608880125e-05,1.76789209142e-05,0.70710749171,0.707106070221,1.57079833709
1.417,1789944362.23,-8.66826033362,-10.7757000519,0.0250000000676,1.70579308129e-11,-1.57814236557e-10,0.707107479485,0.707106082887,1.57079830188
1.437,1789944362.25,-8.66826034069,-10.7757020126,0.0249921562142,2.77066879235e-05,-2.77206398633e-05,0.707107467028,0.707106094259,1.57079826818
1.457,1789944362.27,-8.66826034531,-10.7756988044,0.0249952027175,-1.7660887271e-05,1.76789216413e-05,0.707107457562,0.707106104369,1.5707982405
1.477,1789944362.29,-8.6682603526,-10.7757000548,0.0250000000676,1.70579531577e-11,-1.57814232576e-10,0.707107445337,0.707106117035,1.5707982053
1.497,1789944362.31,-8.66826035967,-10.7757020156,0.0249921562142,2.77066866773e-05,-2.77206411122e-05,0.70710743288,0.707106128406,1.5707981716
1.517,1789944362.33,-8.66826036429,-10.7756988074,0.0249952027175,-1.76608865297e-05,1.76789223685e-05,0.707107423415,0.707106138516,1.57079814392
1.537,1789944362.35,-8.66826037158,-10.7757000578,0.0250000000676,1.70579754448e-11,-1.57814228358e-10,0.70710741119,0.707106151183,1.57079810871
1.557,1789944362.37,-8.66826037865,-10.7757020185,0.0249921562142,2.77066854312e-05,-2.77206423611e-05,0.707107398733,0.707106162554,1.57079807502
1.577,1789944362.39,-8.66826038327,-10.7756988103,0.0249952027175,-1.76608857884e-05,1.76789230957e-05,0.707107389267,0.707106172664,1.57079804733
1.597,1789944362.41,-8.66826039056,-10.7757000608,0.0250000000676,1.70579974033e-11,-1.57814225149e-10,0.707107377043,0.70710618533,1.57079801213
1.617,1789944362.43,-8.66826039763,-10.7757020215,0.0249921562142,2.77066841852e-05,-2.772064361e-05,0.707107364586,0.707106196701,1.57079797843
1.637,1789944362.45,-8.66826040225,-10.7756988133,0.0249952027175,-1.7660885047e-05,1.76789238229e-05,0.707107355121,0.70710620681,1.57079795075
1.657,1789944362.47,-8.66826040954,-10.7757000637,0.0250000000676,1.70580198225e-11,-1.57814220944e-10,0.707107342896,0.707106219477,1.57079791555
1.677,1789944362.49,-8.66826041661,-10.7757020245,0.0249921562142,2.77066829391e-05,-2.77206448589e-05,0.707107330439,0.707106230847,1.57079788185
1.697,1789944362.51,-8.66826042123,-10.7756988163,0.0249952027175,-1.76608843057e-05,1.767892455e-05,0.707107320974,0.707106240957,1.57079785417
1.717,1789944362.53,-8.66826042852,-10.7757000667,0.0250000000676,1.70580417641e-11,-1.57814216997e-10,0.70710730875,0.707106253623,1.57079781897
1.737,1789944362.55,-8.66826043558,-10.7757020275,0.0249921562142,2.77066816931e-05,-2.77206461077e-05,0.707107296293,0.707106264993,1.57079778527
1.757,1789944362.57,-8.66826044021,-10.7756988192,0.0249952027175,-1.76608835644e-05,1.76789252772e-05,0.707107286829,0.707106275103,1.57079775759
1.777,1789944362.59,-8.66826044749,-10.7757000697,0.0250000000676,1.70580636684e-11,-1.578142139e-10,0.707107274604,0.707106287768,1.57079772239
1.797,1789944362.61,-8.66826045456,-10.7757020304,0.0249921562142,2.7706680447e-05,-2.77206473566e-05,0.707107262148,0.707106299139,1.5707976887
1.817,1789944362.63,-8.66826045918,-10.7756988222,0.0249952027175,-1.76608828231e-05,1.76789260043e-05,0.707107252683,0.707106309248,1.57079766101
1.837,1789944362.65,-8.66826046647,-10.7757000726,0.0250000000676,1.70580860368e-11,-1.57814209743e-10,0.707107240459,0.707106321914,1.57079762581
1.857,1789944362.67,-8.66826047354,-10.7757020334,0.0249921562142,2.7706679201e-05,-2.77206486054e-05,0.707107228003,0.707106333284,1.57079759212
1.877,1789944362.69,-8.66826047816,-10.7756988252,0.0249952027175,-1.76608820818e-05,1.76789267314e-05,0.707107218538,0.707106343393,1.57079756444
1.897,1789944362.71,-8.66826048545,-10.7757000756,0.0250000000676,1.70581084256e-11,-1.57814205166e-10,0.707107206314,0.707106356059,1.57079752924
1.917,1789944362.73,-8.66826049252,-10.7757020364,0.0249921562142,2.7706677955e-05,-2.77206498542e-05,0.707107193858,0.707106367428,1.57079749554
1.937,1789944362.75,-8.66826049714,-10.7756988281,0.0249952027175,-1.76608813405e-05,1.76789274585e-05,0.707107184394,0.707106377538,1.57079746786
1.957,1789944362.77,-8.66826050443,-10.7757000786,0.0250000000676,1.7058130401e-11,-1.57814202089e-10,0.70710717217,0.707106390203,1.57079743266
1.977,1789944362.79,-8.6682605115,-10.7757020393,0.0249921562142,2.7706676709e-05,-2.7720651103e-05,0.707107159714,0.707106401573,1.57079739897
1.997,1789944362.81,-8.66826051612,-10.7756988311,0.0249952027175,-1.76608805993e-05,1.76789281856e-05,0.70710715025,0.707106411682,1.57079737129
2.017,1789944362.83,-8.66826052341,-10.7757000816,0.0250000000676,1.705815239e-11,-1.57814198284e-10,0.707107138026,0.707106424347,1.57079733609
2.037,1789944362.85,-8.66826053048,-10.7757020423,0.0249921562142,2.77066754631e-05,-2.77206523517e-05,0.70710712557,0.707106435716,1.5707973024
2.057,1789944362.87,-8.66826053509,-10.7756988341,0.0249952027175,-1.76608798581e-05,1.76789289127e-05,0.707107116106,0.707106445825,1.57079727472
2.077,1789944362.89,-8.66826054238,-10.7757000845,0.0250000000676,1.70581747517e-11,-1.57814194165e-10,0.707107103883,0.70710645849,1.57079723952
2.097,1789944362.91,-8.66826054945,-10.7757020453,0.0249921562142,2.77066742171e-05,-2.77206536005e-05,0.707107091427,0.70710646986,1.57079720582
2.117,1789944362.93,-8.66826055407,-10.7756988371,0.0249952027175,-1.76608791167e-05,1.76789296399e-05,0.707107081963,0.707106479968,1.57079717814
2.137,1789944362.95,-8.66826056136,-10.7757000875,0.0250000000676,1.70581967711e-11,-1.57814190587e-10,0.70710706974,0.707106492633,1.57079714295
2.157,1789944362.97,-8.66826056843,-10.7757020482,0.0249921562142,2.77066729712e-05,-2.77206548492e-05,0.707107057284,0.707106504003,1.57079710925
2.177,1789944362.99,-8.66826057305,-10.77569884,0.0249952027175,-1.76608783755e-05,1.76789303669e-05,0.70710704782,0.707106514111,1.57079708157
