time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789944383.990000010,-8.668267197,-0.000002123,-0.000139738,-8.668267197,0.000000672,0.090294338,-10.775703088,-0.003209255,-0.222934180,-10.775703088,0.001249429,0.112038669,0.024992156,-0.003046504,-0.402457216,0.024992156,0.005002641,0.009322558,89.998112715,-0.000349184,-0.017267086,89.998112715,-0.000003842,-0.937479700,0.000000000,0.000000000,0.000000000,0.000000000,0.000002795,0.004458684,0.008049144,0.000345342,0.090434076,0.334972849,0.411779775,-0.920212614
1789944384.009999990,-8.668267201,0.000000687,0.000140491,-8.668240114,0.001804416,0.090143838,-10.775699880,0.001249395,0.222932472,-10.775644510,0.003487543,0.111851839,0.024995203,-0.004797350,-0.087542316,0.025095010,0.005188865,0.009306672,89.998111137,0.000079860,0.021452214,89.997691031,-0.028094875,-0.935135851,0.000027087,0.000055370,0.000099807,-0.000420105,0.001803730,0.002238148,0.009986215,-0.028174735,0.090003346,-0.111080633,0.096848988,-0.956588065
1789944384.029999971,-8.668267214,-0.000001789,-0.000123805,-8.668181466,0.003606192,0.089993282,-10.775692875,0.000736062,-0.025666625,-10.775546755,0.005723213,0.111664940,0.025088902,0.007384842,0.609109584,0.025201160,0.005374881,0.009290780,89.998105376,-0.000200754,-0.014030740,89.997691031,-0.028094875,-0.935135851,0.000085749,0.000146119,0.000112258,-0.000414344,0.003607982,0.004987151,-0.002009961,-0.027894121,0.090117087,0.137331565,-0.599818804,-0.921105111
1789944384.049999952,-8.668267256,-0.000000960,0.000041486,-8.668091251,0.005405999,0.089842670,-10.775677487,0.000794972,0.002945459,-10.775409824,0.007956438,0.111477972,0.025244274,0.008290303,0.045273065,0.025310606,0.005560687,0.009274883,89.998107007,0.000209923,0.020533859,89.995817854,-0.065467813,-0.932008403,0.000176005,0.000267663,0.000066331,-0.002289153,0.005406959,0.007161466,-0.002729616,-0.065677735,0.089801184,0.108532513,-0.035998182,-0.952542261
1789944384.069999933,-8.668267160,0.000012711,0.000683510,-8.667969661,0.007202150,0.089692144,-10.775659553,0.001041552,0.012329041,-10.775233975,0.010185125,0.111291110,0.025423478,0.009610611,0.066015386,0.025423234,0.005746109,0.009258994,89.998105482,-0.001872044,-0.104098341,89.995817854,-0.065467813,-0.932008403,0.000297499,0.000425578,-0.000000245,-0.002287627,0.007189439,0.009143572,-0.003864501,-0.063595769,0.089008634,0.098962069,-0.056756392,-0.827910062
1789944384.089999914,-8.668266573,0.000048672,0.001798047,-8.667816695,0.008994645,0.089541703,-10.775634157,0.001500494,0.022947089,-10.775019209,0.012409274,0.111104354,0.025624747,0.010208483,0.029893601,0.025539044,0.005931148,0.009243114,89.998049623,-0.005351355,-0.173965544,89.993435698,-0.093383640,-0.929665482,0.000449878,0.000614947,-0.000085703,-0.004613925,0.008945973,0.010908780,-0.004277334,-0.088032285,0.087743656,0.088157266,-0.020650487,-0.755699939
1789944384.109999895,-8.668264954,0.000115773,0.003355055,-8.667610207,0.010781345,0.089391371,-10.775597843,0.002128324,0.031391499,-10.774738051,0.014626230,0.110917732,0.025830477,0.010346319,0.006891811,0.025660307,0.006115579,0.009227246,89.997915927,-0.012077175,-0.336291010,89.990220012,-0.121209227,-0.927324244,0.000654747,0.000859792,-0.000170170,-0.007695915,0.010665572,0.012497906,-0.004230740,-0.109132052,0.086036315,0.079526233,0.002335434,-0.591033235
1789944384.130000114,-8.668261594,0.000222161,0.005319404,-8.667372324,0.012566646,0.089240934,-10.775547316,0.002907909,0.038979256,-10.774417919,0.016841449,0.110730982,0.026038200,0.010400001,0.002684103,0.025784880,0.006299858,0.009211366,89.997618074,-0.022864616,-0.539372047,89.990220012,-0.121209227,-0.927324244,0.000889270,0.001129397,-0.000253321,-0.007398062,0.012344485,0.013933539,-0.004100143,-0.098344611,0.083921530,0.071751726,0.006527263,-0.387952197
1789944384.150000095,-8.668255624,0.000375590,0.007671465,-8.667103050,0.014350504,0.089090398,-10.775479926,0.003802317,0.044720398,-10.774058821,0.019054876,0.110544107,0.026246097,0.010376441,-0.001177991,0.025912759,0.006483983,0.009195477,89.997101149,-0.034592878,-0.586413100,89.984628644,-0.158251217,-0.924198338,0.001152574,0.001421105,-0.000333338,-0.012472505,0.013974914,0.015252559,-0.003892458,-0.123658339,0.081418933,0.065823709,0.010373468,-0.337785238
1789944384.170000076,-8.668246043,0.000581240,0.010282489,-8.666802350,0.016132932,0.088939759,-10.775393742,0.004778349,0.048801586,-10.773660713,0.021266527,0.110357105,0.026453217,0.010340933,-0.001775434,0.026043951,0.006667954,0.009179576,89.996351874,-0.048029370,-0.671824592,89.984628644,-0.158251217,-0.924198338,0.001443693,0.001733029,-0.000409266,-0.011723230,0.015551693,0.016488178,-0.003672978,-0.110221847,0.078657270,0.061555519,0.010955010,-0.252373745
