stamp_sec,receive_sec,x,y,z,qx,qy,qz,qw,yaw_rad
0.197,1789944637.05,-9.94168,-8.82954,0.15,0,0,0.707108079859,0.707105482511,1.5708
0.217,1789944637.07,-9.94168,-8.82954,0.147942,0,0,0.707108079859,0.707105482511,1.5708
0.237,1789944637.09,-9.94168,-8.82954,0.141964,0,0,0.707108079859,0.707105482511,1.5708
0.257,1789944637.11,-9.94168,-8.82954,0.132066,0,0,0.707108079859,0.707105482511,1.5708
0.277,1789944637.13,-9.94168,-8.82954,0.118248,1.07931569706e-22,-1.07931175765e-22,0.707108079859,0.707105482511,1.5708
0.297,1789944637.15,-9.94168,-8.82954,0.10051,-2.4922778929e-29,2.49002030498e-29,0.707108079859,0.707105482511,1.5708
0.317,1789944637.17,-9.94168,-8.82954,0.078852,-1.32146939029e-32,-1.09395462268e-32,0.707108079859,0.707105482511,1.5708
0.337,1789944637.19,-9.94168,-8.82954,0.053274,-1.3234259559e-32,-1.09390113535e-32,0.707108079859,0.707105482511,1.5708
0.357,1789944637.21,-9.94168,-8.82954,0.023776,2.26089909575e-23,-2.26089127731e-23,0.707108079859,0.707105482511,1.5708
0.377,1789944637.23,-9.94168000364,-8.82953875093,0.0249952027175,-1.76608211716e-05,1.76788801622e-05,0.707108072326,0.707105489603,1.57079997932
0.397,1789944637.25,-9.94168001093,-8.82954000136,0.0250000000676,1.70575511626e-11,-1.57814301897e-10,0.707108060068,0.707105502302,1.57079994402
0.417,1789944637.27,-9.941680018,-8.82954196211,0.0249921562143,2.77067091184e-05,-2.77206186382e-05,0.707108047608,0.707105513677,1.57079991032
0.437,1789944637.29,-9.94168002263,-8.82953875389,0.0249952027175,-1.76608998754e-05,1.76789092777e-05,0.70710803814,0.707105523789,1.57079988262
0.457,1789944637.31,-9.94168002992,-8.82954000433,0.0250000000676,1.70575768853e-11,-1.57814296303e-10,0.707108025912,0.707105536459,1.57079984741
0.477,1789944637.33,-9.94168003698,-8.82954196508,0.0249921562143,2.77067078634e-05,-2.77206198783e-05,0.707108013453,0.707105547832,1.57079981371
0.497,1789944637.35,-9.94168004161,-8.82953875686,0.0249952027175,-1.7660899134e-05,1.76789100052e-05,0.707108003985,0.707105557945,1.57079978602
0.517,1789944637.37,-9.9416800489,-8.8295400073,0.0250000000676,1.70575989624e-11,-1.57814292942e-10,0.707107991757,0.707105570614,1.57079975081
