time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789944660.089999914,-9.941687216,-0.000002123,-0.000139757,-9.941687216,0.000000672,0.414236743,-8.829543091,-0.003209255,-0.222934179,-8.829543091,0.001249429,0.367481152,0.024992156,-0.003046504,-0.402457216,0.024992156,0.005002641,0.038957780,89.998107207,-0.000349180,-0.017266878,89.998107207,-0.000003842,-3.749919853,0.000000000,0.000000000,0.000000000,0.000000000,0.000002795,0.004458684,0.008049144,0.000345338,0.414376501,0.590415332,0.441414996,-3.732652975
1789944660.109999895,-9.941687219,0.000000235,0.000117941,-9.941563121,0.008265270,0.412855858,-8.829542721,-0.000560736,0.132425924,-8.829408025,0.008581183,0.366255783,0.025010142,0.006032035,0.453926916,0.025103885,0.005779882,0.038826522,89.998105303,-0.000358525,-0.000467240,89.996422206,-0.112228003,-3.731168944,0.000124098,0.000134696,0.000093744,-0.001683097,0.008265034,0.009141919,-0.000252153,-0.111869479,0.412737917,0.233829858,-0.415100394,-3.730701704
1789944660.130000114,-9.941687372,-0.000011808,-0.000602171,-9.941295000,0.016503293,0.411475378,-8.829554307,-0.000623242,-0.003125297,-8.829145196,0.015889355,0.365030773,0.025141255,0.007127083,0.054752419,0.025229129,0.006554599,0.038695302,89.998141391,0.003924429,0.214147695,89.996422206,-0.112228003,-3.731168944,0.000392372,0.000409110,0.000087875,-0.001719185,0.016515101,0.016512597,-0.000572484,-0.116152432,0.412077549,0.368156070,-0.016057117,-3.945316639
1789944660.150000095,-9.941687444,0.000011884,0.001184597,-9.940882862,0.024714544,0.410095338,-8.829568931,-0.000822603,-0.009968031,-8.828754615,0.023173772,0.363806154,0.025302235,0.008786276,0.082959670,0.025367885,0.007326774,0.038564125,89.998257166,0.006842425,0.145899788,89.988960416,-0.260895256,-3.706182885,0.000804582,0.000814317,0.000065651,-0.009296750,0.024702660,0.023996375,-0.001459502,-0.267737681,0.408910740,0.373774184,-0.044395546,-3.852082673
1789944660.170000076,-9.941686384,0.000104694,0.004640507,-9.940326786,0.032908811,0.408714085,-8.829586591,-0.000923197,-0.005029738,-8.828236319,0.030443114,0.362580458,0.025488278,0.009774479,0.049410141,0.025520264,0.008097328,0.038432832,89.998293130,-0.004110423,-0.547642413,89.988960416,-0.260895256,-3.706182885,0.001359598,0.001350271,0.000031986,-0.009332714,0.032804117,0.031366312,-0.001677152,-0.256784832,0.404073578,0.367610196,-0.010977309,-3.158540472
1789944660.190000057,-9.941682364,0.000309318,0.010231187,-9.939626771,0.041086092,0.407331620,-8.829605086,-0.000899154,0.001202173,-8.827590311,0.037697383,0.361353687,0.025694501,0.010777144,0.050133238,0.025686267,0.008866259,0.038301424,89.997950197,-0.030200483,-1.304503002,89.979455049,-0.371933750,-3.687410530,0.002055592,0.002014776,-0.000008235,-0.018495148,0.040776774,0.038596537,-0.001910885,-0.341733267,0.397100433,0.360151514,-0.011831814,-2.382907528
1789944660.210000038,-9.941672712,0.000665469,0.017807553,-9.938683325,0.049209974,0.405951178,-8.829621086,-0.000678322,0.011041579,-8.826728385,0.044904269,0.360128711,0.025919140,0.011647182,0.043501908,0.025875012,0.009630127,0.038170208,89.997120147,-0.058774109,-1.428681273,89.966644153,-0.482247142,-3.668665644,0.002989387,0.002892701,-0.000044128,-0.030475994,0.048544505,0.045582591,-0.002017055,-0.423473033,0.388143625,0.349087132,-0.005331700,-2.239984371
1789944660.230000019,-9.941654100,0.001201018,0.026777441,-9.937598281,0.057309174,0.404570827,-8.829630450,-0.000242342,0.021799024,-8.825740846,0.052089253,0.358903816,0.026161470,0.012530477,0.044164764,0.026077065,0.010391650,0.038039001,89.995666514,-0.096984857,-1.910537404,89.966644153,-0.482247142,-3.668665644,0.004055820,0.003889604,-0.000084405,-0.029022361,0.056108156,0.052331595,-0.002138828,-0.385262285,0.377793386,0.337104791,-0.006125763,-1.758128241
1789944660.250000000,-9.941622663,0.001940457,0.036971941,-9.936371638,0.065383692,0.403190567,-8.829628664,0.000425501,0.033392134,-8.824627693,0.059252334,0.357679001,0.026420593,0.013347734,0.040862823,0.026292424,0.011150827,0.037907802,89.993557999,-0.134025089,-1.852011638,89.944435637,-0.628437910,-3.643675760,0.005251025,0.005000971,-0.000128168,-0.049122362,0.063443235,0.058826833,-0.002196907,-0.494412820,0.366218625,0.324286868,-0.002955021,-1.791664121
1789944660.269999981,-9.941574192,0.002895588,0.047756587,-9.935003773,0.073435910,0.401809988,-8.829611112,0.001322733,0.044861629,-8.823389253,0.066395627,0.356453904,0.026696634,0.014225238,0.043875216,0.026521085,0.011907882,0.037776573,89.990695192,-0.181078188,-2.352654941,89.944435637,-0.628437910,-3.643675760,0.006570419,0.006221859,-0.000175549,-0.046259555,0.070540322,0.065072894,-0.002317356,-0.447359721,0.354053401,0.311592275,-0.006098643,-1.291020819
