time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
0.000000000,0.002147475,0.000824421,-0.002501239,0.002155561,0.001937065,0.103907982,-0.000002469,0.000004088,0.000033103,0.000013071,0.001042773,0.104079429,1.006153944,0.000211931,-0.000063725,1.006154946,0.000420786,0.020716359,0.000000813,-0.000000866,0.000000529,0.000000832,-0.000000882,1.875000138,0.000008086,0.000015540,0.000001002,0.000000018,0.001112644,0.001038684,0.000208855,-0.000000016,0.106409221,0.104046326,0.020780085,1.874999609
0.019999981,0.002162869,0.000771042,-0.002668938,0.002204663,0.004013002,0.103734709,-0.000002413,0.000002979,-0.000055461,0.000044316,0.003122135,0.103905932,1.006163382,0.000485698,0.013688370,1.006165427,0.000834670,0.020681811,-0.000002051,-0.000166634,-0.008288382,0.000842752,0.056142165,1.870315699,0.000041794,0.000046729,0.000002045,0.000844803,0.003241960,0.003119156,0.000348972,0.056308798,0.106403646,0.103961393,0.006993440,1.878604081
0.039999962,0.002177197,0.000718745,-0.002614862,0.002315972,0.006084442,0.103561377,-0.000002350,0.000004118,0.000056963,0.000137865,0.005196995,0.103732377,1.006184988,0.001065061,0.028968164,1.006188311,0.001247657,0.020647251,-0.000011741,-0.000517323,-0.017534470,0.003366893,0.112163648,1.865629680,0.000138775,0.000140215,0.000003322,0.003378634,0.005365697,0.005192876,0.000182596,0.112680971,0.106176239,0.103675413,-0.008320913,1.883164150
0.059999943,0.002190724,0.000663663,-0.001984340,0.002463566,0.008153776,0.103387967,-0.000002016,0.000029351,0.000695228,0.000267750,0.007269747,0.103558743,1.006219318,0.002035168,0.031876674,1.006218429,0.001660225,0.020612675,0.000031695,0.005302908,0.140882864,0.003366893,0.112163648,1.865629680,0.000272842,0.000269767,-0.000000889,0.003335198,0.007490113,0.007240395,-0.000374943,0.106860740,0.105372307,0.102863515,-0.011263998,1.724746815
0.089999914,0.002203938,0.000663765,0.000005113,0.002739383,0.011254620,0.103127735,-0.000000937,0.000081640,0.002614439,0.000517082,0.010375713,0.103298175,1.006266598,0.002656799,0.031081555,1.006274457,0.002278446,0.020560789,0.000208284,0.012057756,0.337742401,0.009348630,0.186707200,1.859376035,0.000535445,0.000518019,0.000007860,0.009140346,0.010590854,0.010294073,-0.000378353,0.174649444,0.103122621,0.100683737,-0.010520766,1.521633634
0.109999895,0.002217565,0.000704266,0.002025033,0.002995107,0.013312556,0.102954518,0.000001578,0.000172344,0.004535171,0.000755296,0.012437051,0.103124735,1.006326208,0.003273397,0.030829902,1.006326132,0.002688741,0.020526252,0.000579963,0.025394261,0.666825253,0.015778730,0.242363600,1.854693132,0.000777541,0.000753718,-0.000000075,0.015198768,0.012608290,0.012264708,-0.000584656,0.216969339,0.100929485,0.098589564,-0.010303651,1.187867879
0.119999886,0.002232501,0.000793569,0.003245089,0.003122968,0.014341524,0.102867910,0.000006380,0.000309311,0.005691767,0.000874402,0.013467721,0.103038015,1.006398291,0.003904832,0.031200811,1.006351970,0.002893889,0.020508983,0.001307096,0.047730701,0.891823626,0.015778730,0.242363600,1.854693132,0.000890467,0.000868022,-0.000046321,0.014471635,0.013547955,0.013158410,-0.001010943,0.194632899,0.099622821,0.097346248,-0.010691828,0.962869506
0.149999857,0.002249809,0.000939751,0.007309095,0.003599418,0.017423380,0.102607853,0.000014477,0.000500187,0.009543785,0.001324717,0.016554674,0.102777623,1.006482500,0.004481565,0.028836658,1.006447998,0.003508324,0.020457132,0.002485800,0.070179971,1.122463493,0.023882734,0.297929029,1.850006059,0.001349609,0.001310240,-0.000034501,0.021396934,0.016483629,0.016054488,-0.000973240,0.227749058,0.095298759,0.093233838,-0.008379527,0.727542566
0.159999847,0.002270678,0.001043515,0.008842743,0.003794223,0.018448070,0.102521131,0.000026996,0.000624712,0.010998161,0.001510866,0.017581060,0.102690788,1.006578129,0.004767202,0.028700217,1.006487183,0.003712619,0.020439840,0.004155781,0.084011668,1.252816612,0.023882734,0.297929029,1.850006059,0.001523545,0.001483870,-0.000090945,0.019726953,0.017404555,0.016956348,-0.001054584,0.213917360,0.093678388,0.091692628,-0.008260377,0.597189446
0.189999819,0.002296381,0.001420519,0.013662001,0.004378637,0.021522139,0.102260963,0.000045146,0.001060677,0.015571973,0.002069312,0.020660218,0.102430285,1.006684639,0.005566738,0.025694895,1.006604737,0.004325502,0.020387966,0.006358244,0.123426840,1.279173745,0.037283254,0.371829167,1.843753948,0.002082256,0.002024167,-0.000079902,0.030925010,0.020101621,0.019599541,-0.001241236,0.248402327,0.088598962,0.086858311,-0.005306929,0.564580203
