stamp_sec,receive_sec,x,y,z,qx,qy,qz,qw,yaw_rad
0.198,1790081554.88,0,0,0.15,0,0,0,1,0
0.218,1790081554.9,0,0,0.147942,0,0,0,1,0
0.238,1790081554.92,0,0,0.141964,0,0,0,1,0
0.258,1790081554.94,0,0,0.132066,0,0,0,1,0
0.278,1790081554.96,0,3.03318151478e-30,0.118248,4.02909745931e-30,-1.52638021585e-22,1.00686429932e-28,1,2.01372859864e-28
0.298,1790081554.98,0,1.08300743094e-35,0.10051,-6.28896060736e-33,3.52268476887e-29,-2.09613275588e-35,1,-4.19226551176e-35
0.318,1790081555,0,4.76620990769e-35,0.078852,-6.65182767337e-33,-2.46329538522e-33,1.14422901625e-33,1,2.28845803251e-33
0.338,1790081555.02,0,8.60324306318e-35,0.053274,-6.65588406379e-33,-2.45788849529e-33,2.30942098471e-33,1,4.61884196942e-33
0.358,1790081555.04,0,1.51935060905e-30,0.023776,-1.90175805872e-32,-3.19738893201e-23,5.07248306363e-29,1,1.01449661273e-28
0.378,1790081555.06,1.24923179422e-06,-7.2407927365e-09,0.0249952028416,-2.60437483382e-08,2.49890151032e-05,1.94809837484e-08,0.999999999688,3.89606659181e-08
0.398,1790081555.08,-9.40644164004e-10,-2.2200774661e-08,0.0250000000663,2.70488406892e-10,-1.25594559545e-10,4.79186044383e-08,1,9.58372088765e-08
0.418,1790081555.1,-1.96135340423e-06,-3.67122710452e-08,0.0249921563309,2.02256612722e-08,-3.91911953438e-05,7.52741841959e-08,0.999999999232,1.50546783403e-07
0.438,1790081555.12,1.24697369652e-06,-4.61654567464e-08,0.0249952028415,-2.59716015253e-08,2.49890956657e-05,9.79359894765e-08,0.999999999688,1.95870681123e-07
0.458,1790081555.14,-3.20930212109e-09,-6.11160463982e-08,0.0250000000663,2.70488432319e-10,-1.25594571383e-10,1.26318487211e-07,1,2.52636974421e-07
0.478,1790081555.16,-1.9636221848e-06,-7.56275721342e-08,0.0249921563309,2.02284568982e-08,-3.91911953441e-05,1.53672736352e-07,0.999999999232,3.07343887856e-07
0.498,1790081555.18,1.24470491018e-06,-8.50801430335e-08,0.0249952028415,-2.59731982662e-08,2.49890956474e-05,1.76334230714e-07,0.999999999688,3.52667163665e-07
0.518,1790081555.2,-5.47809170287e-09,-1.00030741389e-07,0.0250000000663,2.70488452663e-10,-1.25594583092e-10,2.04716358302e-07,1,4.09432716603e-07
0.538,1790081555.23,-1.9658909792e-06,-1.14542392656e-07,0.0249921563309,2.02312530801e-08,-3.91911953575e-05,2.32070245974e-07,0.999999999232,4.64138907243e-07
0.558,1790081555.24,1.24243611173e-06,-1.23994349592e-07,0.0249952028415,-2.59747950914e-08,2.4989095629e-05,2.54731438219e-07,0.999999999688,5.09461578741e-07
0.578,1790081555.27,-7.74689337492e-09,-1.38944956667e-07,0.0250000000663,2.70488473076e-10,-1.25594594652e-10,2.83113195738e-07,1,5.66226391475e-07
0.598,1790081555.29,-1.96815978569e-06,-1.53456733468e-07,0.0249921563308,2.02340492245e-08,-3.9191195371e-05,3.10466721924e-07,0.999999999232,6.20931859286e-07
0.618,1790081555.31,1.2401673012e-06,-1.62908076449e-07,0.0249952028415,-2.59763918941e-08,2.49890956106e-05,3.33127612065e-07,0.999999999688,6.66253926501e-07
0.638,1790081555.33,-1.00157071253e-08,-1.77858692244e-07,0.0250000000663,2.70488493458e-10,-1.25594606213e-10,3.61508999538e-07,1,7.23017999076e-07
0.658,1790081555.35,-1.97042860426e-06,-1.92370594578e-07,0.0249921563308,2.02368453326e-08,-3.91911953844e-05,3.8886216425e-07,0.999999999232,7.77722744079e-07
0.678,1790081555.37,1.23789847858e-06,-2.01821323613e-07,0.0249952028415,-2.59779886774e-08,2.49890955922e-05,4.11522752312e-07,0.999999999688,8.23044207062e-07
0.698,1790081555.39,-1.22845329589e-08,-2.16771948126e-07,0.0250000000663,2.70488513827e-10,-1.25594617821e-10,4.39903769734e-07,1,8.79807539467e-07
0.718,1790081555.41,-1.97269743492e-06,-2.31283975989e-07,0.0249921563308,2.02396414031e-08,-3.91911953978e-05,4.67256572985e-07,0.999999999232,9.34511561692e-07
0.738,1790081555.43,1.23562964389e-06,-2.40734091086e-07,0.0249952028415,-2.59795854383e-08,2.49890955737e-05,4.89916858948e-07,0.999999999688,9.798324204e-07
0.758,1790081555.45,-1.45533708778e-08,-2.5568472432e-07,0.0250000000663,2.70488534212e-10,-1.25594629388e-10,5.18297506347e-07,1,1.03659501269e-06
0.778,1790081555.47,-1.97496627766e-06,-2.70196877711e-07,0.0249921563308,2.02424374369e-08,-3.91911954112e-05,5.45649948133e-07,0.999999999232,1.09129831213e-06
0.798,1790081555.49,1.2333607971e-06,-2.79646378878e-07,0.0249952028415,-2.59811821784e-08,2.49890955553e-05,5.68309931992e-07,0.999999999688,1.13661856656e-06
0.818,1790081555.51,-1.68222208915e-08,-2.9459702083e-07,0.0250000000663,2.70488554577e-10,-1.25594641029e-10,5.96690209348e-07,1,1.1933804187e-06
0.838,1790081555.53,-1.9772351325e-06,-3.09109299746e-07,0.0249921563308,2.02452334339e-08,-3.91911954247e-05,6.24042289679e-07,0.999999999232,1.24808299536e-06
0.858,1790081555.55,1.23109193822e-06,-3.18558186991e-07,0.0249952028415,-2.59827788994e-08,2.49890955369e-05,6.4670197147e-07,0.999999999688,1.29340264558e-06
0.878,1790081555.57,-1.90910829861e-08,-3.33508837657e-07,0.0250000000663,2.70488574939e-10,-1.25594652596e-10,6.7508187882e-07,1,1.35016375764e-06
0.898,1790081555.59,-1.97950399941e-06,-3.48021242097e-07,0.0249921563308,2.02480293939e-08,-3.91911954381e-05,7.02433597695e-07,0.999999999232,1.40486561154e-06
0.918,1790081555.61,1.22882306727e-06,-3.5746951543e-07,0.0249952028415,-2.59843755991e-08,2.49890955184e-05,7.2509297742e-07,0.999999999688,1.45018465755e-06
0.938,1790081555.63,-2.13599571643e-08,-3.72420174816e-07,0.0250000000663,2.70488595312e-10,-1.25594664231e-10,7.53472514714e-07,1,1.50694502943e-06
0.958,1790081555.65,-1.98177287841e-06,-3.86932704781e-07,0.0249921563308,2.02508253175e-08,-3.91911954515e-05,7.80823872144e-07,0.999999999232,1.56164616058e-06
0.978,1790081555.67,1.22655418423e-06,-3.96380364205e-07,0.0249952028415,-2.59859722752e-08,2.49890955e-05,8.03482949791e-07,0.999999999687,1.60696460235e-06
0.998,1790081555.69,-2.36288434256e-08,-4.11331032311e-07,0.0250000000663,2.70488615682e-10,-1.25594675764e-10,8.31862117071e-07,1,1.66372423414e-06
1.018,1790081555.71,-1.98404176949e-06,-4.25843687798e-07,0.0249921563308,2.02536212041e-08,-3.91911954649e-05,8.59213113051e-07,0.999999999232,1.71842464253e-06
1.038,1790081555.73,1.2242852891e-06,-4.35290733327e-07,0.0249952028415,-2.598756893e-08,2.49890954816e-05,8.8187188861e-07,0.999999999687,1.76374248006e-06
1.058,1790081555.75,-2.58977417702e-08,-4.50241410148e-07,0.0250000000663,2.70488636103e-10,-1.25594687338e-10,9.10250685871e-07,1,1.82050137174e-06
1.078,1790081555.77,-1.98631067265e-06,-4.64754191156e-07,0.0249921563308,2.02564170538e-08,-3.91911954783e-05,9.37601320432e-07,0.999999999232,1.87520105744e-06
1.098,1790081555.79,1.2220163819e-06,-4.74200622793e-07,0.0249952028415,-2.59891655669e-08,2.49890954632e-05,9.60259793915e-07,0.999999999687,1.92051829074e-06
