time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
0.000000000,0.001379214,-0.000949116,0.001539873,0.001379214,0.000000000,0.112018157,-0.000281783,-0.000606851,0.001842952,-0.000281783,0.000000000,0.112036765,1.004716932,0.000645220,-0.000195212,1.004716932,0.000649125,0.022353876,-0.000002282,-0.000006133,0.000013173,-0.000002282,-0.000006396,-5.729577951,0.000000000,0.000000000,0.000000000,0.000000000,0.000949116,0.000606851,0.000003904,-0.000000263,0.110478283,0.110193813,0.022549088,-5.729591124
0.019999981,0.001360554,-0.000919422,0.001484700,0.001423932,0.002238131,0.112018157,-0.000293541,-0.000571775,0.001753818,-0.000237058,0.002238503,0.112036765,1.004731576,0.000965111,0.015994541,1.004738825,0.001095757,0.022353876,-0.000003926,-0.000260956,-0.012741164,-0.000002282,-0.000006396,-5.729577951,0.000063378,0.000056483,0.000007249,0.000001644,0.003157552,0.002810278,0.000130645,0.000254560,0.110533457,0.110282948,0.006359335,-5.716836787
0.039999962,0.001342503,-0.000885228,0.001709695,0.001468650,0.004476261,0.112018157,-0.000304589,-0.000533003,0.001938615,-0.000192333,0.004477005,0.112036765,1.004757637,0.001608803,0.032184596,1.004760718,0.001542389,0.022353876,-0.000015247,-0.000769784,-0.025441396,-0.004577070,-0.228961145,-5.729577951,0.000126147,0.000112256,0.000003081,-0.004561823,0.005361489,0.005010008,-0.000066414,-0.228191361,0.110308462,0.110098150,-0.009830720,-5.704136556
0.059999943,0.001325311,-0.000832634,0.002629692,0.001591871,0.006717915,0.112018157,-0.000314698,-0.000476975,0.002801375,-0.000069091,0.006719031,0.112036765,1.004796733,0.002281690,0.033644348,1.004798298,0.001989724,0.022353876,-0.000119795,-0.016136664,-0.768344011,-0.014031238,-0.400948866,-5.729577951,0.000266560,0.000245607,0.000001565,-0.013911444,0.007550549,0.007196006,-0.000291966,-0.384812201,0.109388465,0.109235391,-0.011290472,-4.961233941
0.080000162,0.001309470,-0.000749298,0.004166797,0.001748716,0.008959373,0.112018157,-0.000323401,-0.000391532,0.004272164,0.000087780,0.008960861,0.112036765,1.004849560,0.002951327,0.033481859,1.004842586,0.002437020,0.022353876,-0.000764356,-0.046322663,-1.509299957,-0.014031238,-0.400948866,-5.729577951,0.000439246,0.000411181,-0.000006974,-0.013266882,0.009708671,0.009352393,-0.000514308,-0.354626202,0.107851360,0.107764602,-0.011127983,-4.220277994
0.100000143,0.001295721,-0.000624189,0.006255454,0.001939181,0.011200581,0.112018157,-0.000329985,-0.000265710,0.006291073,0.000278277,0.011202442,0.112036765,1.004915280,0.003589134,0.031890356,1.004893582,0.002884266,0.022353876,-0.002073938,-0.087022215,-2.034977563,-0.028644498,-0.572901051,-5.729577951,0.000643460,0.000608262,-0.000021698,-0.026570560,0.011824770,0.011468152,-0.000704868,-0.485878837,0.105762703,0.105745693,-0.009536479,-3.694600388
0.120000124,0.001284983,-0.000449411,0.008738895,0.002207856,0.013439917,0.112018157,-0.000333558,-0.000091599,0.008705591,0.000546997,0.013442149,0.112036765,1.004993772,0.004228646,0.031975601,1.004960174,0.003331138,0.022353876,-0.004420823,-0.148182100,-3.057994264,-0.028644498,-0.572901051,-5.729577951,0.000922873,0.000880555,-0.000033598,-0.024223675,0.013889328,0.013533748,-0.000897508,-0.424718952,0.103279261,0.103331175,-0.009621725,-2.671583687
0.140000105,0.001278326,-0.000217793,0.011580907,0.002476531,0.015679252,0.112018157,-0.000333077,0.000138196,0.011489727,0.000815716,0.015681857,0.112036765,1.005084894,0.004837037,0.030419523,1.005026766,0.003778011,0.022353876,-0.008135992,-0.216523172,-3.417053594,-0.056129487,-0.801979043,-5.729577951,0.001198205,0.001148793,-0.000058128,-0.047993495,0.015897045,0.015543661,-0.001059026,-0.585455871,0.100437250,0.100547039,-0.008065647,-2.312524357
0.160000086,0.001276944,0.000075515,0.014665377,0.002823591,0.017918850,0.112018157,-0.000327366,0.000428762,0.014528301,0.001162834,0.017921826,0.112036765,1.005187766,0.005427968,0.029546552,1.005109002,0.004224936,0.022353876,-0.013250463,-0.294407523,-3.894217554,-0.082757183,-0.973807636,-5.729577951,0.001546647,0.001490200,-0.000078763,-0.069506720,0.017843335,0.017493064,-0.001203032,-0.679400114,0.097352780,0.097508464,-0.007192676,-1.835360397
0.180000067,0.001282109,0.000434353,0.017941905,0.003204665,0.020160602,0.112018157,-0.000315170,0.000784263,0.017775040,0.001543971,0.020163951,0.112036765,1.005302515,0.006002762,0.028739711,1.005198038,0.004672290,0.022353876,-0.020095498,-0.379908572,-4.275052442,-0.082757183,-0.973807636,-5.729577951,0.001922556,0.001859142,-0.000104476,-0.062661686,0.019726249,0.019379688,-0.001330472,-0.593899065,0.094076252,0.094261726,-0.006385835,-1.454525509
