time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789944862.990000010,-9.038818033,0.000000692,0.000141356,-9.038818033,0.000000000,0.112204866,-9.136520011,0.001249395,0.222932471,-9.136520011,0.000000000,0.113417706,0.024995203,-0.004797350,-0.087542312,0.024995203,0.000000000,0.012103384,89.997868872,0.000079834,0.021441712,89.997868872,-0.000349000,-5.729577951,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000692,-0.001249395,0.004797350,-0.000428834,0.112063510,-0.109514764,0.099645696,-5.751019663
1789944863.009999990,-9.038818040,0.000000677,-0.000000748,-9.038784250,0.002248132,0.112204866,-9.136521261,0.001249429,0.000001707,-9.136485863,0.002272433,0.113417706,0.025000000,0.005002641,0.489999532,0.024998847,0.000242503,0.012103384,89.997866865,-0.000003842,-0.004183800,89.995270792,-0.172545397,-5.729577951,0.000033790,0.000035398,-0.000001153,-0.002596073,0.002247456,0.001023004,-0.004760138,-0.172541556,0.112205614,0.113415999,-0.477896149,-5.725394152
1789944863.029999971,-9.038818052,-0.000002414,-0.000154553,-9.038716848,0.004493545,0.112204866,-9.136530682,-0.000634859,-0.094214414,-9.136417733,0.004542117,0.113417706,0.025090154,0.006390952,0.069415571,0.025006117,0.000484713,0.012103384,89.997863644,0.000081251,0.004254633,89.995270792,-0.172545397,-5.729577951,0.000101204,0.000112949,-0.000084036,-0.002592852,0.004495960,0.005176976,-0.005906240,-0.172626649,0.112359420,0.207632120,-0.057312187,-5.733832585
1789944863.049999952,-9.038818102,-0.000000519,0.000094780,-9.038615827,0.006736239,0.112204866,-9.136543789,-0.000655503,-0.001032184,-9.136315619,0.006809052,0.113417706,0.025227208,0.007302659,0.045585361,0.025017014,0.000726629,0.012103384,89.997720727,-0.017039830,-0.856054055,89.987522582,-0.344325232,-5.729577951,0.000202275,0.000228169,-0.000210193,-0.010198145,0.006736758,0.007464555,-0.006576030,-0.327285402,0.112110086,0.114449890,-0.033481977,-4.873523897
1789944863.069999933,-9.038817927,0.000021412,0.001096526,-9.038436209,0.008980449,0.112204866,-9.136556823,-0.000650041,0.000273095,-9.136134060,0.009077520,0.113417706,0.025376594,0.007470269,0.008380468,0.025036390,0.000968709,0.012103384,89.997152435,-0.038656364,-1.080826687,89.987522582,-0.344325232,-5.729577951,0.000381718,0.000422763,-0.000340204,-0.009629853,0.008959037,0.009727561,-0.006501560,-0.305668868,0.111108340,0.113144611,0.003722915,-4.648751265
1789944863.089999914,-9.038816986,0.000076419,0.002750378,-9.038256591,0.011224659,0.112204866,-9.136570155,-0.000690700,-0.002032928,-9.135952500,0.011345988,0.113417706,0.025524977,0.007356878,-0.005669540,0.025055765,0.001210788,0.012103384,89.995998099,-0.078122636,-1.973313608,89.969164761,-0.573519838,-5.729577951,0.000560395,0.000617655,-0.000469212,-0.026833339,0.011148239,0.012036687,-0.006146089,-0.495397202,0.109454488,0.115450634,0.017772924,-3.756264343
1789944863.109999895,-9.038814478,0.000178038,0.005080953,-9.037998115,0.013471230,0.112204866,-9.136584688,-0.000762107,-0.003570365,-9.135691230,0.013616843,0.113417706,0.025670055,0.007146184,-0.010534702,0.025083646,0.001453123,0.012103384,89.993985199,-0.120204755,-2.104105954,89.949356199,-0.745596671,-5.729577951,0.000816363,0.000893458,-0.000586409,-0.044628999,0.013293192,0.014378950,-0.005693061,-0.625391916,0.107123913,0.116988071,0.022638086,-3.625471998
1789944863.130000114,-9.038809361,0.000335750,0.007885599,-9.037706081,0.015716685,0.112204866,-9.136600834,-0.000849326,-0.004360958,-9.135396040,0.015886569,0.113417706,0.025810761,0.006939355,-0.010341419,0.025115147,0.001695337,0.012103384,89.990947022,-0.184218336,-3.200679057,89.949356199,-0.745596671,-5.729577951,0.001103280,0.001204793,-0.000695614,-0.041590822,0.015380935,0.016735895,-0.005244018,-0.561378335,0.104319267,0.117778664,0.022444803,-2.528898894
1789944863.150000095,-9.038800427,0.000557833,0.011104142,-9.037380499,0.017960970,0.112204866,-9.136618675,-0.000927029,-0.003885138,-9.135066939,0.018155113,0.113417706,0.025947745,0.006774501,-0.008242735,0.025150267,0.001937425,0.012103384,89.986398462,-0.268769024,-4.227534400,89.924407469,-0.917499748,-5.729577951,0.001419928,0.001551736,-0.000797477,-0.061990993,0.017403137,0.019082142,-0.004837076,-0.648730724,0.101100724,0.117302844,0.020346119,-1.502043552
1789944863.170000076,-9.038786313,0.000851320,0.014674323,-9.036976385,0.020205134,0.112204866,-9.136637717,-0.000966555,-0.001976285,-9.134658456,0.020423535,0.113417706,0.026081705,0.006632095,-0.007120280,0.025193859,0.002179500,0.012103384,89.980129091,-0.352669781,-4.195037856,89.924407469,-0.917499748,-5.729577951,0.001809928,0.001979261,-0.000887846,-0.055721622,0.019353815,0.021390089,-0.004452595,-0.564829967,0.097530543,0.115393991,0.019223663,-1.534540095
