time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789945623.319999933,-8.520286875,-0.000002118,-0.000139403,-8.520286875,0.000000670,0.205023249,-10.163803038,-0.003209255,-0.222934180,-10.163803038,0.001249429,0.244571099,0.024992156,-0.003046504,-0.402457215,0.024992156,0.005002641,0.023461566,89.998206355,-0.000349255,-0.017270633,89.998206355,-0.000003842,-11.459155903,0.000000000,0.000000000,0.000000000,0.000000000,0.000002788,0.004458684,0.008049144,0.000345413,0.205162652,0.467505279,0.425918781,-11.441885270
1789945623.339999914,-8.520286880,0.000000685,0.000140157,-8.520225414,0.004099182,0.205023249,-10.163799829,0.001249395,0.222932473,-10.163704759,0.006138522,0.244571099,0.024995203,-0.004797350,-0.087542318,0.025099193,0.005471648,0.023461566,89.998204776,0.000079870,0.021456275,89.993054530,-0.343614803,-11.459155903,0.000061466,0.000095070,0.000103990,-0.005150246,0.004098497,0.004889127,0.010268999,-0.343694673,0.204883092,0.021638626,0.111003884,-11.480612178
1789945623.359999895,-8.520286934,-0.000006311,-0.000349779,-8.520102428,0.008198943,0.205023249,-10.163790643,0.000742968,-0.025321325,-10.163533083,0.011029104,0.244571099,0.025112904,0.007656416,0.622688309,0.025213301,0.005940799,0.023461566,89.998208535,0.001011806,0.046596800,89.993054530,-0.343614803,-11.459155903,0.000184506,0.000257560,0.000100397,-0.005154005,0.008205254,0.010286136,-0.001715617,-0.344626609,0.205373028,0.269892423,-0.599226743,-11.505752702
1789945623.380000114,-8.520287053,-0.000001597,0.000235688,-8.519917917,0.012300002,0.205023249,-10.163775180,0.000807253,0.003214230,-10.163288004,0.015921235,0.244571099,0.025278999,0.009025510,0.068454697,0.025334481,0.006410099,0.023461566,89.997959559,-0.031749272,-1.638053902,89.977586560,-0.687437929,-11.459155903,0.000369136,0.000487176,0.000055482,-0.020372999,0.012301599,0.015113982,-0.002615411,-0.655688657,0.204787562,0.241356869,-0.044993130,-9.821102001
1789945623.400000095,-8.520286720,0.000041003,0.002130012,-8.519589943,0.016400116,0.205023249,-10.163756208,0.001129042,0.016089453,-10.162871795,0.020812238,0.244571099,0.025476913,0.010709377,0.084193346,0.025472055,0.006879290,0.023461566,89.996909681,-0.073867297,-2.105901285,89.977586560,-0.687437929,-11.459155903,0.000696777,0.000884413,-0.000004858,-0.019323121,0.016359113,0.019683196,-0.003830087,-0.613570632,0.202893237,0.228481645,-0.060731779,-9.353254618
1789945623.420000076,-8.520284931,0.000144771,0.005188371,-8.519261969,0.020500231,0.205023249,-10.163728124,0.001686072,0.027851496,-10.162455586,0.025703242,0.244571099,0.025701192,0.011492285,0.039145402,0.025609629,0.007348481,0.023461566,89.994743789,-0.152132532,-3.913261735,89.940925640,-1.145764940,-11.459155903,0.001022962,0.001272538,-0.000091563,-0.053818149,0.020355460,0.024017170,-0.004143804,-0.993632408,0.199834878,0.216719603,-0.015683836,-7.545894168
1789945623.440000057,-8.520280208,0.000333966,0.009459753,-8.518790128,0.024603225,0.205023249,-10.163686466,0.002479931,0.039692950,-10.161867742,0.030597681,0.244571099,0.025935885,0.011933367,0.022054089,0.025763736,0.007818002,0.023461566,89.990921694,-0.236223241,-4.204535441,89.901368506,-1.489751669,-11.459155903,0.001490080,0.001818724,-0.000172149,-0.089553189,0.024269259,0.028117750,-0.004115365,-1.253528428,0.195563496,0.204878148,0.001407477,-7.254620461
1789945623.460000038,-8.520270649,0.000625519,0.014577649,-8.518256894,0.028705039,0.205023249,-10.163626599,0.003489861,0.050496507,-10.161206669,0.035490713,0.244571099,0.026178431,0.012295178,0.018090582,0.025924841,0.008287387,0.023461566,89.985055837,-0.367189099,-6.548292891,89.901368506,-1.489751669,-11.459155903,0.002013755,0.002419930,-0.000253590,-0.083687332,0.028079521,0.032000852,-0.004007791,-1.122562570,0.190445600,0.194074591,0.005370985,-4.910863012
1789945623.480000019,-8.520254057,0.001033810,0.020414549,-8.517662265,0.032805674,0.205023249,-10.163544501,0.004689665,0.059990201,-10.160472366,0.040382337,0.244571099,0.026428071,0.012651754,0.017828761,0.026092942,0.008756638,0.023461566,89.976210857,-0.536370102,-8.459050160,89.851517056,-1.833540590,-11.459155903,0.002591791,0.003072135,-0.000335129,-0.124693801,0.031771865,0.035692672,-0.003895115,-1.297170488,0.184608700,0.184580898,0.005632805,-3.000105742
1789945623.500000000,-8.520227959,0.001571125,0.026865782,-8.516924720,0.036903252,0.205023249,-10.163436608,0.006057782,0.068405847,-10.159567597,0.045270314,0.244571099,0.026684539,0.012973613,0.016092941,0.026277322,0.009225539,0.023461566,89.963977762,-0.703415743,-8.352282033,89.851517056,-1.833540590,-11.459155903,0.003303239,0.003869011,-0.000407217,-0.112460706,0.035332126,0.039212532,-0.003748073,-1.130124847,0.178157467,0.176165252,0.007368625,-3.106873870
1789945623.519999981,-8.520189708,0.002243160,0.033601711,-8.516187175,0.041000829,0.205023249,-10.163299759,0.007575057,0.075863726,-10.158662829,0.050158292,0.244571099,0.026947698,0.013330591,0.017848903,0.026461703,0.009694440,0.023461566,89.948245274,-0.894775278,-9.567976771,89.769072666,-2.291584022,-11.459155903,0.004002533,0.004636930,-0.000485995,-0.179172608,0.038757669,0.042583235,-0.003636151,-1.396808744,0.171421538,0.168707373,0.005612663,-1.891179131
1789945623.539999962,-8.520136555,0.003054934,0.040588700,-8.515304467,0.045106440,0.205023249,-10.163131092,0.009231415,0.082817921,-10.157584848,0.055055853,0.244571099,0.027217867,0.013664990,0.016719973,0.026662892,0.010164260,0.023461566,89.928810632,-1.071059991,-8.814235628,89.695069294,-2.635790147,-11.459155903,0.004832087,0.005546244,-0.000554975,-0.233741338,0.042051506,0.045824438,-0.003500730,-1.564730157,0.164434549,0.161753178,0.006741593,-2.644920275
1789945623.559999943,-8.520065697,0.004006625,0.047584585,-8.514360184,0.049211725,0.205023249,-10.162927901,0.011020078,0.089433140,-10.156433415,0.059953024,0.244571099,0.027495186,0.014060350,0.019768010,0.026871118,0.010634043,0.023461566,89.905651214,-1.278686261,-10.381313541,89.695069294,-2.635790147,-11.459155903,0.005705513,0.006494486,-0.000624067,-0.210581920,0.045205099,0.048932946,-0.003426307,-1.357103886,0.157438664,0.155137958,0.003693556,-1.077842362
1789945623.579999924,-8.519974325,0.005099774,0.054657438,-8.513354324,0.053316683,0.205023249,-10.162687536,0.012942826,0.096137432,-10.155208530,0.064849805,0.244571099,0.027781131,0.014517524,0.022858668,0.027086384,0.011103789,0.023461566,89.878037438,-1.515294269,-11.830400404,89.610741019,-2.979941510,-11.459155903,0.006620002,0.007479006,-0.000694747,-0.267296420,0.048216909,0.051906979,-0.003413735,-1.464647240,0.150365811,0.148433667,0.000602898,0.371244501
1789945623.599999905,-8.519859571,0.006337980,0.061910277,-8.512207290,0.057412782,0.205023249,-10.162407244,0.015007567,0.103237007,-10.153815295,0.069736020,0.244571099,0.028076123,0.014954273,0.021837447,0.027317588,0.011572520,0.023461566,89.845814679,-1.736279829,-11.049277967,89.610741019,-2.979941510,-11.459155903,0.007652281,0.008591949,-0.000758535,-0.235073660,0.051074802,0.054728453,-0.003381752,-1.243661681,0.143112972,0.141334091,0.001624119,-0.409877935
