epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786552330,0,1927356,12239396,2097140,0.00,0.00,0.00,0.00,23.53,0.00,0,0,16436,0.00,1,0,0,0,0,0,16436,ros2,2158772,code
1786552331,1,1698336,12468416,2097140,0.00,0.00,0.00,0.18,39.39,1.17,0,0,627836,93.00,15,35828,157388,71656,0,0,78700,stereo,2159588,code
1786552333,3,1567672,12599080,2097140,0.00,0.00,0.00,0.18,39.40,0.52,0,0,632268,645.50,12,35764,265456,0,0,0,132800,stereo,2159896,code
1786552334,4,1448816,12717936,2097140,0.00,0.00,0.90,0.14,24.15,0.00,0,0,748108,454.30,12,35772,381288,0,0,0,190824,stereo,2159836,code
1786552335,5,1338152,12828600,2097140,0.00,0.00,0.74,0.12,24.87,0.00,0,0,866840,391.50,12,35888,497544,0,0,0,248936,stereo,2160068,code
1786552336,6,1236192,12930560,2097140,0.00,0.00,0.74,0.12,26.86,0.06,0,0,981884,358.20,12,35888,612588,0,0,0,306788,stereo,2159876,code
1786552337,7,1113808,13052944,2097140,0.00,0.00,0.60,0.10,26.64,0.00,0,0,1092916,281.50,12,35820,724392,0,0,0,362440,stereo,2159884,code
1786552338,8,990044,13176708,2097140,0.00,0.00,0.60,0.10,24.80,0.00,0,0,1230160,276.20,12,35820,861828,0,0,0,430996,stereo,2159392,code
1786552339,9,862596,13304156,2097140,0.00,0.00,0.67,0.08,21.71,0.12,0,0,1410844,268.50,12,36192,1039348,0,0,0,519704,stereo,2159300,code
1786552340,10,831800,13334952,2097140,0.00,0.00,0.67,0.08,19.18,0.12,0,0,1452956,261.60,12,36192,1081460,0,0,0,542196,stereo,2157332,code
1786552341,11,827520,13339232,2097140,0.00,0.00,1.09,0.06,34.48,0.11,0,0,1455676,273.90,12,38448,1081868,0,0,0,543700,stereo,2159740,code
1786552342,12,813356,13353396,2097140,0.00,0.00,1.09,0.06,33.01,0.06,0,0,1455252,282.10,12,38556,1081280,0,0,0,543000,stereo,2159748,code
1786552344,14,800476,13366276,2097140,0.00,0.00,1.98,0.05,34.06,0.00,0,0,1458144,289.70,12,38620,1083852,0,0,0,543916,stereo,2157928,code
1786552345,15,800196,13366556,2097140,0.00,0.00,1.98,0.05,32.20,0.00,0,0,1456456,296.60,12,38712,1081740,0,0,0,543216,stereo,2158192,code
1786552346,16,1848752,12318000,2097140,0.00,0.00,2.71,0.04,28.77,0.06,0,0,111740,10.70,2,0,0,0,0,0,72632,python3,2158228,code
1786552347,17,1847428,12319324,2097140,0.00,0.00,2.76,0.03,6.79,0.06,0,0,111740,10.00,2,0,0,0,0,0,72632,python3,2158436,code
1786552348,18,1850136,12316616,2097140,0.00,0.00,2.76,0.03,7.47,0.00,0,0,111588,8.80,2,0,0,0,0,0,72480,python3,2157804,code
1786552349,19,1851868,12314884,2097140,0.00,0.00,2.26,0.02,7.25,0.06,0,0,111588,8.30,2,0,0,0,0,0,72480,python3,2157816,code
1786552350,20,1850812,12315940,2097140,0.00,0.00,2.26,0.02,6.89,0.00,0,0,111012,8.00,2,0,0,0,0,0,71904,python3,2157816,code
1786552351,21,1870852,12295900,2097140,0.00,0.00,1.85,0.02,10.10,0.06,0,0,71904,4.40,1,0,0,0,0,0,71904,python3,2158160,code
1786552352,22,1876812,12289940,2097140,0.00,0.00,1.85,0.02,7.16,0.00,0,0,71904,4.10,1,0,0,0,0,0,71904,python3,2157840,code
1786552353,23,1917384,12249368,2097140,0.00,0.00,1.51,0.01,9.28,0.00,0,0,0,0.00,0,0,0,0,0,0,0,none,2158096,code
