epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786621270,0,1723984,12442768,2096972,0.00,0.00,0.00,0.00,25.40,0.00,0,0,16016,0.00,1,0,0,0,0,0,16016,ros2,2338584,code
1786621271,1,1691384,12475368,2096972,0.00,0.00,0.00,0.18,12.85,0.86,0,0,100196,55.00,2,0,0,0,0,61852,61852,python3,2338340,code
1786621272,2,1637780,12528972,2096972,0.00,0.00,0.00,0.18,9.91,0.06,0,0,171844,122.80,3,70732,0,0,0,62668,70732,global_map_serv,2337304,code
1786621273,3,1645720,12521032,2096972,0.00,0.00,0.00,0.14,16.31,0.12,0,0,179676,127.70,3,78316,0,0,0,62916,78316,global_map_serv,2337216,code
1786621274,4,1630944,12535808,2096972,0.00,0.00,0.00,0.14,12.21,0.06,0,0,182148,127.70,3,80772,0,0,0,62932,80772,global_map_serv,2337320,code
1786621275,5,1645336,12521416,2096972,0.00,0.00,0.00,0.12,11.75,0.06,0,0,183284,126.50,3,81880,0,0,0,62960,81880,global_map_serv,2325448,code
1786621276,6,1683932,12482820,2096972,0.00,0.00,0.00,0.09,10.68,0.00,0,0,184836,124.30,3,83412,0,0,0,62976,83412,global_map_serv,2325060,code
1786621277,7,1687300,12479452,2096972,0.00,0.00,0.00,0.09,10.42,0.00,0,0,185380,120.70,3,83948,0,0,0,62984,83948,global_map_serv,2325060,code
1786621278,8,1684492,12482260,2096972,0.00,0.00,0.00,0.08,5.87,0.06,0,0,185380,104.10,3,83948,0,0,0,62984,83948,global_map_serv,2325904,code
1786621280,10,1663920,12502832,2096972,0.00,0.00,0.00,0.08,8.75,0.06,0,0,185380,91.50,3,83948,0,0,0,62984,83948,global_map_serv,2325488,code
