epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib
1786623294,0,1854168,12312584,2096804,0.00,0.00,0.00,0.12,21.88,0.00,0,0,16188,0.00,1,0,0,0,0,0,16188,ros2,2346824,code,22686,0,0,0,0,0
1786623295,1,1711660,12455092,2096804,0.00,0.00,0.18,0.28,25.55,0.43,0,0,493496,245.00,9,34660,95036,177184,0,0,177184,gzserver,2347400,code,354368,17398,75317,168016,0,0
1786623296,2,1469348,12697404,2096804,0.00,0.00,0.18,0.28,20.92,0.10,0,0,697484,243.50,9,34900,158624,316096,0,0,316096,gzserver,2343840,code,532950,17287,139006,283398,0,0
1786623298,4,1366204,12800548,2096804,0.00,0.00,0.14,0.22,19.96,0.05,0,0,760600,235.40,8,35096,221592,344692,0,0,344692,gzserver,2343724,code,614148,17708,201931,311167,0,0
1786623299,5,1293840,12872912,2096804,0.00,0.00,0.14,0.22,14.26,0.00,0,0,824916,183.00,8,35100,285896,344700,0,0,344700,gzserver,2343872,code,678377,17708,266155,311173,0,0
1786623300,6,1207008,12959744,2096804,0.00,0.00,0.12,0.18,16.42,0.00,0,0,890492,186.90,8,35100,351452,344720,0,0,351452,stereo,2343432,code,744642,17708,332407,311185,0,0
1786623301,7,1163240,13003512,2096800,0.00,0.00,0.09,0.15,13.41,0.00,0,0,957172,189.30,8,35036,418388,344784,0,0,418388,stereo,2343392,code,811108,17696,398874,311250,0,0
1786623303,9,1034644,13132108,2096800,0.00,0.00,0.09,0.15,18.03,0.05,0,0,1270384,196.10,15,36232,584536,347736,0,0,539772,stereo,2343620,code,982906,16856,532892,308040,0,0
1786623304,10,893620,13273132,2097148,0.00,0.00,0.44,0.12,24.36,0.05,0,87,1409896,273.10,13,36304,702548,381496,0,0,540156,stereo,2341012,code,1115719,17228,632972,346584,0,0
1786623305,11,779028,13387724,2097148,0.00,0.00,0.72,0.10,27.40,0.05,0,0,1491204,291.90,12,37940,802656,387580,0,0,545612,stereo,2340576,code,1220234,18549,733508,348549,0,0
1786623306,12,727880,13438872,2097148,0.00,0.00,0.72,0.10,26.47,0.05,0,0,1588448,307.90,12,37968,899600,387592,0,0,546724,stereo,2339824,code,1316723,18571,829935,348537,0,0
1786623308,14,648132,13518620,2097148,0.00,0.00,0.95,0.08,31.39,0.05,0,0,1685584,318.70,12,38008,996440,387604,0,0,547976,stereo,2339508,code,1413026,18579,926194,348520,0,0
1786623309,15,586200,13580552,2097148,0.00,0.00,0.95,0.08,23.20,0.11,0,0,1756116,318.10,12,38140,1065880,387556,0,0,546008,stereo,2336956,code,1465438,18470,978456,348387,0,0
1786623310,16,558676,13608076,2097148,0.00,0.00,1.32,0.06,25.43,0.10,0,0,1773228,298.70,12,38052,1084712,386088,0,0,546304,stereo,2335500,code,1479067,18324,994262,346822,0,0
1786623311,17,567316,13599436,2097148,0.00,0.00,1.81,0.05,27.33,0.16,0,0,1766856,309.00,12,37920,1087520,377040,0,0,547548,stereo,2329520,code,1470366,18192,994724,337791,0,0
1786623312,18,562384,13604368,2097148,0.00,0.00,1.81,0.05,25.74,0.05,0,0,1763200,319.10,12,37920,1083736,377040,0,0,545020,stereo,2328900,code,1472455,18200,996792,337781,0,0
1786623314,20,567564,13599188,2097148,0.00,0.00,2.20,0.04,29.23,0.05,0,0,1766208,331.10,12,37984,1086612,377044,0,0,547892,stereo,2328828,code,1471911,18200,996248,337783,0,0
1786623315,21,581040,13585712,2097148,0.00,0.00,2.20,0.04,32.91,0.00,0,0,1756952,326.10,12,37984,1087036,367364,0,0,547892,stereo,2329072,code,1464107,18200,998120,328103,0,0
1786623316,22,593040,13573712,2097148,0.00,0.00,2.71,0.03,37.40,0.34,0,0,1758676,337.60,12,37984,1088752,367372,0,0,547892,stereo,2336340,code,1459789,18200,994039,327868,0,0
1786623318,24,578648,13588104,2097148,0.00,0.00,3.30,0.03,35.27,0.00,0,0,1757872,344.20,12,38008,1087924,367372,0,0,547064,stereo,2340168,code,1463956,18224,998183,327868,0,0
1786623319,25,580404,13586348,2097148,0.00,0.00,3.30,0.03,25.32,0.05,0,0,1756396,348.50,12,38032,1086424,367372,0,0,547064,stereo,2339384,code,1461578,18254,995775,327864,0,0
1786623320,26,556764,13609988,2097148,0.00,0.00,3.43,0.02,29.99,0.36,0,0,1749940,336.90,12,38020,1087580,359312,0,0,548148,stereo,2338044,code,1450987,18037,997221,319582,0,0
1786623321,27,562604,13604148,2097148,0.00,0.00,3.53,0.01,28.63,0.05,0,0,1737608,342.80,12,37916,1085520,348740,0,0,545788,stereo,2336872,code,1439011,17928,996019,308902,0,0
1786623323,29,565912,13600840,2097148,0.00,0.00,3.53,0.01,26.68,0.00,0,0,1740772,347.30,12,38128,1088256,348744,0,0,548524,stereo,2334372,code,1440259,18032,997077,308903,0,0
1786623324,30,561332,13605420,2097148,0.00,0.00,3.80,0.01,28.49,0.00,0,0,1741556,352.20,12,38152,1089016,348744,0,0,547624,stereo,2333932,code,1439541,18056,996336,308903,0,0
