epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1786880488,0,7745484,6421268,1168272,0.00,0.00,0.01,0.00,17.39,0.00,0,0,17056,0.00,1,0,0,0,0,0,17056,ros2,834340,chrome,21781,0,0,0,0,0,0,0,0
1786880489,1,7450944,6715808,1168272,0.00,0.00,0.19,0.00,40.52,0.28,0,0,731400,433.00,13,37524,98136,71944,179824,84528,179824,rviz2,834364,chrome,419223,18829,70642,29715,127572,41337,52208,18409,24
1786880490,2,7294920,6871832,1168272,0.00,0.00,0.19,0.00,28.40,0.05,0,0,770304,269.50,12,37800,131900,71944,196808,66216,196808,rviz2,834376,chrome,421032,18383,90742,29718,107408,41583,69380,20769,593
1786880491,3,7220028,6946724,1168272,0.00,0.00,0.34,0.00,15.82,0.00,0,0,770372,143.70,12,37800,131964,71944,196808,66216,196808,rviz2,834400,chrome,420048,18383,90740,29706,106492,41647,69380,20767,593
1786880493,5,7114872,7051880,1168272,0.00,0.00,0.34,0.00,18.73,0.51,0,0,771048,129.00,12,38124,131964,71944,197364,66684,197364,rviz2,834420,chrome,412095,18845,91203,29719,106684,41999,69732,20869,602
1786880494,6,7142444,7024308,1168272,0.00,0.00,0.46,0.00,18.37,0.05,0,0,755132,124.60,11,38220,143544,71944,197568,66708,197568,rviz2,834424,chrome,421789,18848,100816,29719,106636,42057,77948,22033,834
1786880495,7,7164632,7002120,1168272,0.00,0.00,0.74,0.00,20.50,0.00,0,0,755092,123.30,11,38156,143820,71944,197508,66644,197508,rviz2,834424,chrome,422844,18840,101919,29719,106633,42052,79092,22031,796
1786880496,8,7127224,7039528,1168272,0.00,0.00,0.74,0.00,24.67,0.00,0,0,934020,157.20,16,38448,213776,71944,197868,66828,197868,rviz2,834428,chrome,482825,18442,132691,28812,106130,41745,106064,25773,852
1786880498,10,7012508,7154244,1168272,0.00,0.00,1.51,0.00,31.18,0.05,0,0,1024096,213.70,16,39224,275864,71944,198504,67740,198504,rviz2,834432,chrome,534619,18809,176863,28812,106692,42348,149144,26421,1298
1786880499,11,7026268,7140484,1168272,0.00,0.00,1.96,0.00,22.83,0.00,0,0,1001972,187.60,15,39756,277484,71944,199092,68060,199092,rviz2,834432,chrome,538278,19165,178222,28821,106885,42511,150488,26421,1313
1786880500,12,7020004,7146748,1168272,0.00,0.00,1.96,0.00,24.89,0.00,0,0,1015488,198.60,15,39808,290364,71944,199272,68060,199272,rviz2,834436,chrome,550461,19171,190039,28821,107067,42508,162216,26440,1382
1786880502,14,7004828,7161924,1168272,0.00,0.00,2.15,0.00,26.18,0.05,0,0,1016636,182.10,15,39932,290240,71944,200132,68060,200132,rviz2,834440,chrome,551716,19191,190386,28821,107920,42507,162600,26439,1345
1786880503,15,7012840,7153912,1168272,0.00,0.00,2.30,0.00,24.37,0.00,0,0,1018484,187.30,15,39868,292664,71944,200068,67996,200068,rviz2,834440,chrome,549155,19167,189309,28812,107891,42070,161620,26353,1336
1786880504,16,6973768,7192984,1168272,0.00,0.00,2.30,0.00,27.90,0.00,0,0,1021856,194.80,15,40084,293880,71944,200284,68192,200284,rviz2,834448,chrome,552124,19193,192273,28804,107845,42075,164680,26257,1334
1786880505,17,6973772,7192980,1168272,0.00,0.00,2.79,0.00,24.90,0.05,0,0,1022872,183.70,15,40088,294892,71944,200284,68192,200284,rviz2,834448,chrome,550738,19197,190885,28804,107844,42075,163292,26257,1334
1786880507,19,6982080,7184672,1168272,0.00,0.00,2.83,0.00,21.74,0.00,0,0,1021912,186.20,15,40088,293884,71944,200280,68192,200280,rviz2,834448,chrome,550612,19196,190755,28804,107845,42075,163164,26257,1333
1786880508,20,6989840,7176912,1168272,0.00,0.00,2.83,0.00,23.49,0.05,0,0,1022168,189.80,15,40088,294136,71944,200284,68192,200284,rviz2,834452,chrome,549614,19196,189747,28804,107853,42075,162156,26257,1333
1786880509,21,7004336,7162416,1168272,0.00,0.00,2.86,0.00,25.67,0.00,0,0,1021844,191.70,15,40088,293808,71944,200288,68192,200288,rviz2,834456,chrome,550543,19196,190678,28804,107853,42075,163088,26257,1333
1786880511,23,6952964,7213788,1168272,0.00,0.00,2.86,0.00,24.60,0.00,0,0,1022452,182.60,15,40088,294240,71944,200464,68192,200464,rviz2,834484,chrome,551438,19195,191232,28799,108209,42074,163652,26247,1333
1786880512,24,6961256,7205496,1168272,0.00,0.00,3.06,0.00,23.32,0.05,0,0,1021912,185.50,15,40088,293480,71944,200684,68192,200684,rviz2,834488,chrome,551053,19195,190848,28799,108208,42074,163268,26247,1333
1786880513,25,6961796,7204956,1168272,0.00,0.00,3.23,0.00,24.61,0.00,0,0,1023316,188.10,15,40092,294880,71944,200684,68192,200684,rviz2,834488,chrome,551065,19199,190856,28799,108208,42074,163276,26247,1333
