epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1787247165,0,6423628,7743124,1576716,0.00,0.00,0.00,0.00,37.25,0.00,0,0,16484,0.00,1,0,0,0,0,0,16484,ros2,1318756,chrome,15123,0,0,0,0,0,0,0,0
1787247166,1,6018500,8148252,1576716,0.00,0.00,0.00,0.00,41.23,0.06,0,0,771948,386.00,12,38524,131528,72188,198144,66196,198144,rviz2,1318936,chrome,428073,19186,90207,29301,116451,40879,69268,20346,593
1787247167,2,5842728,8324024,1576716,0.00,0.00,0.00,0.00,23.89,0.00,6,0,775016,219.50,12,38764,132176,72188,198412,66492,198412,rviz2,1318936,chrome,415937,19249,90337,29262,104131,40907,69572,20169,595
1787247168,3,5783988,8382764,1576736,0.00,0.00,0.36,0.00,23.11,0.05,0,1,757272,128.70,11,38956,143612,72188,198616,66644,198616,rviz2,1318936,chrome,417674,19569,102035,29244,103485,41210,79736,21464,834
1787247169,4,5792504,8374248,1576736,0.00,0.00,0.47,0.00,17.80,0.00,0,0,757788,121.80,11,38960,144124,72188,198616,66644,198616,rviz2,1318936,chrome,418195,19573,102543,29244,103489,41210,80244,21464,834
1787247170,5,5779764,8386988,1576736,0.00,0.00,0.47,0.00,18.27,0.00,0,0,758876,116.80,11,38960,144672,72188,199156,66644,199156,rviz2,1320160,chrome,419315,19573,103095,29244,104060,41210,80796,21464,834
1787247172,7,6071924,8094828,1576736,0.00,0.00,0.57,0.00,23.27,0.05,0,0,759032,111.60,11,38896,145240,72188,199192,66580,199192,rviz2,951812,chrome,418512,19567,102336,29244,104065,41203,80044,21464,828
1787247173,8,6114260,8052492,1576736,0.00,0.00,0.57,0.00,16.54,0.00,0,0,759004,107.50,11,38896,145212,72188,199192,66580,199192,rviz2,950204,chrome,417999,19357,102145,29244,104068,41203,80892,20424,828
1787247174,9,5992992,8173760,1576736,0.00,0.00,1.01,0.00,31.81,0.05,0,0,1036100,177.20,16,40152,279268,72188,202608,67684,202608,rviz2,950212,chrome,543404,19532,178371,28413,105283,41380,151228,25748,1394
1787247175,10,5960832,8205920,1576736,0.00,0.00,1.55,0.00,23.49,0.00,0,0,1017972,165.80,15,40368,290400,72188,202864,67852,202864,rviz2,950216,chrome,544880,19860,188533,28419,105622,41643,161148,25918,1465
